product,market,month,demand,allocation,absdiff,reldiff
929S,UK,Feb-07,52,46,6,11.320754716981131
929S,UK,Mar-07,54,48,6,10.909090909090908
929S,France,Jan-07,116,103,13,11.11111111111111
929S,France,Feb-07,113,100,13,11.403508771929825
929S,France,Mar-07,110,97,13,11.711711711711711
929S,Germany,Jan-07,15,14,1,6.25
929S,Germany,Feb-07,21,19,2,9.090909090909092
929S,Germany,Mar-07,20,18,2,9.523809523809524
929S,Spain,Jan-07,94,84,10,10.526315789473685
929S,Spain,Feb-07,99,88,11,11
929S,Spain,Mar-07,92,82,10,10.75268817204301
929S,Italy,Jan-07,39,35,4,10
929S,Italy,Feb-07,45,40,5,10.869565217391305
929S,Italy,Mar-07,46,42,4,8.51063829787234
929S,China,Jan-07,67,60,7,10.294117647058824
929S,China,Feb-07,67,59,8,11.764705882352942
929S,China,Mar-07,71,64,7,9.722222222222221
929S,Japan,Jan-07,22,20,2,8.695652173913043
929S,Japan,Feb-07,23,20,3,12.5
929S,Japan,Mar-07,23,21,2,8.333333333333334
996S,US,Jan-07,70,49,21,29.577464788732396
996S,US,Feb-07,68,47,21,30.434782608695652
996S,US,Mar-07,68,48,20,28.985507246376812
996S,Canada,Jan-07,87,65,22,25
996S,Canada,Feb-07,91,70,21,22.82608695652174
996S,Canada,Mar-07,90,69,21,23.076923076923077
996S,Brazil,Jan-07,10,3,7,63.63636363636363
996S,Brazil,Feb-07,8,2,6,66.66666666666667
996S,Brazil,Mar-07,12,0,12,100
996S,Argentina,Jan-07,96,86,10,10.309278350515465
996S,Argentina,Feb-07,95,84,11,11.458333333333334
996S,Argentina,Mar-07,105,94,11,10.377358490566039
996S,UK,Jan-07,47,39,8,16.666666666666668
996S,UK,Feb-07,46,38,8,17.02127659574468
996S,UK,Mar-07,55,43,12,21.428571428571427
996S,France,Jan-07,52,36,16,30.18867924528302
996S,France,Feb-07,54,37,17,30.90909090909091
996S,France,Mar-07,60,44,16,26.229508196721312
996S,Germany,Jan-07,47,31,16,33.333333333333336
996S,Germany,Feb-07,44,24,20,44.44444444444444
996S,Germany,Mar-07,49,29,20,40
996S,Spain,Jan-07,85,68,17,19.767441860465116
996S,Spain,Feb-07,87,70,17,19.318181818181817
996S,Spain,Mar-07,98,81,17,17.171717171717173
996S,Italy,Jan-07,25,17,8,30.76923076923077
996S,Italy,Feb-07,28,10,18,62.06896551724138
996S,Italy,Mar-07,28,5,23,79.3103448275862
996S,China,Jan-07,98,83,15,15.151515151515152
996S,China,Feb-07,101,86,15,14.705882352941176
996S,China,Mar-07,98,83,15,15.151515151515152
996S,Japan,Jan-07,50,32,18,35.294117647058826
996S,Japan,Feb-07,51,33,18,34.61538461538461
996S,Japan,Mar-07,55,31,24,42.857142857142854
996RS,US,Jan-07,15,13,2,12.5
996RS,US,Feb-07,17,15,2,11.11111111111111
996RS,US,Mar-07,15,14,1,6.25
996RS,Canada,Jan-07,73,65,8,10.81081081081081
996RS,Canada,Feb-07,72,64,8,10.95890410958904
996RS,Canada,Mar-07,70,62,8,11.267605633802816
996RS,Brazil,Jan-07,97,86,11,11.224489795918368
996RS,Brazil,Feb-07,98,87,11,11.11111111111111
996RS,Brazil,Mar-07,99,89,10,10
996RS,Argentina,Jan-07,48,43,5,10.204081632653061
996RS,Argentina,Feb-07,54,48,6,10.909090909090908
996RS,Argentina,Mar-07,55,50,5,8.928571428571429
996RS,UK,Jan-07,53,47,6,11.11111111111111
996RS,UK,Feb-07,63,57,6,9.375
996RS,UK,Mar-07,63,57,6,9.375
996RS,France,Jan-07,25,22,3,11.538461538461538
996RS,France,Feb-07,28,25,3,10.344827586206897
996RS,France,Mar-07,34,32,2,5.714285714285714
996RS,Germany,Jan-07,34,30,4,11.428571428571429
996RS,Germany,Feb-07,29,25,4,13.333333333333334
996RS,Germany,Mar-07,28,25,3,10.344827586206897
996RS,Spain,Jan-07,71,63,8,11.11111111111111
996RS,Spain,Feb-07,75,67,8,10.526315789473685
996RS,Spain,Mar-07,73,65,8,10.81081081081081
996RS,Italy,Jan-07,71,63,8,11.11111111111111
996RS,Italy,Feb-07,72,64,8,10.95890410958904
996RS,Italy,Mar-07,76,68,8,10.38961038961039
996RS,China,Jan-07,5,4,1,16.666666666666668
996RS,China,Feb-07,11,10,1,8.333333333333334
996RS,China,Mar-07,3,3,0,0
996RS,Japan,Jan-07,24,21,3,12
996RS,Japan,Feb-07,23,20,3,12.5
996RS,Japan,Mar-07,23,21,2,8.333333333333334
RoadStar,US,Jan-07,86,32,54,62.06896551724138
RoadStar,US,Feb-07,80,27,53,65.4320987654321
RoadStar,US,Mar-07,77,22,55,70.51282051282051
RoadStar,Canada,Jan-07,101,60,41,40.19607843137255
RoadStar,Canada,Feb-07,98,54,44,44.44444444444444
RoadStar,Canada,Mar-07,102,58,44,42.71844660194175
RoadStar,Brazil,Jan-07,80,36,44,54.32098765432099
RoadStar,Brazil,Feb-07,75,32,43,56.578947368421055
RoadStar,Brazil,Mar-07,79,21,58,72.5
RoadStar,Argentina,Jan-07,105,58,47,44.339622641509436
RoadStar,Argentina,Feb-07,102,56,46,44.66019417475728
RoadStar,Argentina,Mar-07,105,59,46,43.39622641509434
RoadStar,UK,Jan-07,36,2,34,91.89189189189189
RoadStar,UK,Feb-07,37,4,33,86.84210526315789
RoadStar,UK,Mar-07,42,1,41,95.34883720930233
RoadStar,France,Jan-07,92,47,45,48.38709677419355
RoadStar,France,Feb-07,89,45,44,48.888888888888886
RoadStar,France,Mar-07,90,47,43,47.252747252747255
RoadStar,Germany,Jan-07,89,47,42,46.666666666666664
RoadStar,Germany,Feb-07,81,40,41,50
RoadStar,Germany,Mar-07,87,44,43,48.86363636363637
RoadStar,Spain,Jan-07,84,34,50,58.8235294117647
RoadStar,Spain,Feb-07,79,29,50,62.5
RoadStar,Spain,Mar-07,85,36,49,56.97674418604651
RoadStar,Italy,Jan-07,111,58,53,47.32142857142857
RoadStar,Italy,Feb-07,113,60,53,46.49122807017544
RoadStar,Italy,Mar-07,106,54,52,48.598130841121495
RoadStar,China,Jan-07,34,3,31,88.57142857142857
RoadStar,China,Feb-07,40,4,36,87.8048780487805
RoadStar,China,Mar-07,38,1,37,94.87179487179488
RoadStar,Japan,Jan-07,75,37,38,50
RoadStar,Japan,Feb-07,74,29,45,60
RoadStar,Japan,Mar-07,79,23,56,70
RoadLiner,US,Jan-07,16,14,2,11.764705882352942
RoadLiner,US,Feb-07,20,18,2,9.523809523809524
RoadLiner,US,Mar-07,17,16,1,5.555555555555555
RoadLiner,Canada,Jan-07,83,74,9,10.714285714285714
RoadLiner,Canada,Feb-07,86,76,10,11.494252873563218
RoadLiner,Canada,Mar-07,79,70,9,11.25
RoadLiner,Brazil,Jan-07,105,93,12,11.320754716981131
RoadLiner,Brazil,Feb-07,104,92,12,11.428571428571429
RoadLiner,Brazil,Mar-07,103,92,11,10.576923076923077
RoadLiner,Argentina,Jan-07,62,55,7,11.11111111111111
RoadLiner,Argentina,Feb-07,61,54,7,11.290322580645162
RoadLiner,Argentina,Mar-07,63,56,7,10.9375
RoadLiner,UK,Jan-07,38,34,4,10.256410256410257
RoadLiner,UK,Feb-07,44,39,5,11.11111111111111
RoadLiner,UK,Mar-07,37,33,4,10.526315789473685
RoadLiner,France,Jan-07,53,47,6,11.11111111111111
RoadLiner,France,Feb-07,55,49,6,10.714285714285714
RoadLiner,France,Mar-07,58,52,6,10.169491525423728
RoadLiner,Germany,Jan-07,64,57,7,10.76923076923077
RoadLiner,Germany,Feb-07,67,60,7,10.294117647058824
RoadLiner,Germany,Mar-07,69,62,7,10
RoadLiner,Spain,Jan-07,81,72,9,10.975609756097562
RoadLiner,Spain,Feb-07,72,63,9,12.32876712328767
RoadLiner,Spain,Mar-07,76,67,9,11.688311688311689
RoadLiner,Italy,Jan-07,43,38,5,11.363636363636363
RoadLiner,Italy,Feb-07,45,40,5,10.869565217391305
RoadLiner,Italy,Mar-07,45,41,4,8.695652173913043
RoadLiner,China,Jan-07,64,57,7,10.76923076923077
RoadLiner,China,Feb-07,60,53,7,11.475409836065573
RoadLiner,China,Mar-07,64,57,7,10.76923076923077
RoadLiner,Japan,Jan-07,28,25,3,10.344827586206897
RoadLiner,Japan,Feb-07,24,21,3,12
RoadLiner,Japan,Mar-07,22,19,3,13.043478260869565
Victory,US,Jan-07,97,40,57,58.16326530612245
Victory,US,Feb-07,100,43,57,56.43564356435643
Victory,US,Mar-07,95,38,57,59.375
Victory,Canada,Jan-07,86,35,51,58.62068965517241
Victory,Canada,Feb-07,87,35,52,59.09090909090909
Victory,Canada,Mar-07,87,20,67,76.13636363636364
Victory,Brazil,Jan-07,73,12,61,82.43243243243244
Victory,Brazil,Feb-07,65,4,61,92.42424242424242
Victory,Brazil,Mar-07,69,1,68,97.14285714285714
Victory,Argentina,Jan-07,30,4,26,83.87096774193549
Victory,Argentina,Feb-07,22,0,22,100
Victory,Argentina,Mar-07,21,0,21,100
Victory,UK,Jan-07,36,2,34,91.89189189189189
Victory,UK,Feb-07,42,4,38,88.37209302325581
Victory,UK,Mar-07,38,1,37,94.87179487179488
Victory,France,Jan-07,47,3,44,91.66666666666667
Victory,France,Feb-07,53,5,48,88.88888888888889
Victory,France,Mar-07,52,1,51,96.22641509433963
Victory,Germany,Jan-07,75,13,62,81.57894736842105
Victory,Germany,Feb-07,83,22,61,72.61904761904762
Victory,Germany,Mar-07,77,17,60,76.92307692307692
Victory,Spain,Jan-07,38,2,36,92.3076923076923
Victory,Spain,Feb-07,40,4,36,87.8048780487805
Victory,Spain,Mar-07,43,1,42,95.45454545454545
Victory,Italy,Jan-07,87,35,52,59.09090909090909
Victory,Italy,Feb-07,81,30,51,62.19512195121951
Victory,Italy,Mar-07,88,37,51,57.30337078651685
Victory,China,Jan-07,81,27,54,65.85365853658537
Victory,China,Feb-07,74,20,54,72
Victory,China,Mar-07,77,18,59,75.64102564102564
Victory,Japan,Jan-07,13,2,11,78.57142857142857
Victory,Japan,Feb-07,10,0,10,100
Victory,Japan,Mar-07,18,0,18,100
Boulevard,US,Jan-07,84,75,9,10.588235294117647
Boulevard,US,Feb-07,92,82,10,10.75268817204301
Boulevard,US,Mar-07,93,84,9,9.574468085106384
Boulevard,Canada,Jan-07,50,45,5,9.803921568627452
Boulevard,Canada,Feb-07,54,48,6,10.909090909090908
Boulevard,Canada,Mar-07,53,47,6,11.11111111111111
Boulevard,Brazil,Jan-07,10,9,1,9.090909090909092
Boulevard,Brazil,Feb-07,5,4,1,16.666666666666668
Boulevard,Brazil,Mar-07,9,8,1,10
Boulevard,Argentina,Jan-07,37,33,4,10.526315789473685
Boulevard,Argentina,Feb-07,37,33,4,10.526315789473685
Boulevard,Argentina,Mar-07,39,35,4,10
Boulevard,UK,Jan-07,38,34,4,10.256410256410257
Boulevard,UK,Feb-07,38,33,5,12.820512820512821
Boulevard,UK,Mar-07,40,36,4,9.75609756097561
Boulevard,France,Jan-07,26,23,3,11.11111111111111
Boulevard,France,Feb-07,28,25,3,10.344827586206897
Boulevard,France,Mar-07,33,30,3,8.823529411764707
Boulevard,Germany,Jan-07,4,4,0,0
Boulevard,Germany,Feb-07,12,11,1,7.6923076923076925
Boulevard,Germany,Mar-07,12,12,0,0
Boulevard,Spain,Jan-07,101,90,11,10.784313725490197
Boulevard,Spain,Feb-07,95,83,12,12.5
Boulevard,Spain,Mar-07,102,91,11,10.679611650485437
Boulevard,Italy,Jan-07,77,68,9,11.538461538461538
Boulevard,Italy,Feb-07,83,74,9,10.714285714285714
Boulevard,Italy,Mar-07,84,76,8,9.411764705882353
Boulevard,China,Jan-07,100,89,11,10.891089108910892
Boulevard,China,Feb-07,93,82,11,11.702127659574469
Boulevard,China,Mar-07,98,87,11,11.11111111111111
Boulevard,Japan,Jan-07,82,73,9,10.843373493975903
Boulevard,Japan,Feb-07,81,72,9,10.975609756097562
Boulevard,Japan,Mar-07,74,65,9,12
KingTwin,US,Jan-07,36,2,34,91.89189189189189
KingTwin,US,Feb-07,40,4,36,87.8048780487805
KingTwin,US,Mar-07,40,1,39,95.1219512195122
KingTwin,Canada,Jan-07,52,4,48,90.56603773584905
KingTwin,Canada,Feb-07,58,7,51,86.44067796610169
KingTwin,Canada,Mar-07,55,1,54,96.42857142857143
KingTwin,Brazil,Jan-07,22,2,20,86.95652173913044
KingTwin,Brazil,Feb-07,27,3,24,85.71428571428571
KingTwin,Brazil,Mar-07,29,1,28,93.33333333333333
KingTwin,Argentina,Jan-07,83,37,46,54.76190476190476
KingTwin,Argentina,Feb-07,92,46,46,49.46236559139785
KingTwin,Argentina,Mar-07,92,46,46,49.46236559139785
KingTwin,UK,Jan-07,81,34,47,57.31707317073171
KingTwin,UK,Feb-07,87,40,47,53.40909090909091
KingTwin,UK,Mar-07,94,38,56,58.94736842105263
KingTwin,France,Jan-07,95,50,45,46.875
KingTwin,France,Feb-07,101,45,56,54.90196078431372
KingTwin,France,Mar-07,102,46,56,54.36893203883495
KingTwin,Germany,Jan-07,118,60,58,48.739495798319325
KingTwin,Germany,Feb-07,116,59,57,48.717948717948715
KingTwin,Germany,Mar-07,118,61,57,47.89915966386555
KingTwin,Spain,Jan-07,86,46,40,45.97701149425287
KingTwin,Spain,Feb-07,95,54,41,42.708333333333336
KingTwin,Spain,Mar-07,95,46,49,51.041666666666664
KingTwin,Italy,Jan-07,66,20,46,68.65671641791045
KingTwin,Italy,Feb-07,65,19,46,69.6969696969697
KingTwin,Italy,Mar-07,67,10,57,83.82352941176471
KingTwin,China,Jan-07,77,32,45,57.69230769230769
KingTwin,China,Feb-07,80,35,45,55.55555555555556
KingTwin,China,Mar-07,81,31,50,60.97560975609756
KingTwin,Japan,Jan-07,45,3,42,91.30434782608695
KingTwin,Japan,Feb-07,49,5,44,88
KingTwin,Japan,Mar-07,54,1,53,96.36363636363636
MegaTwin,US,Jan-07,66,59,7,10.447761194029852
MegaTwin,US,Feb-07,71,63,8,11.11111111111111
MegaTwin,US,Mar-07,75,68,7,9.210526315789474
MegaTwin,Canada,Jan-07,28,25,3,10.344827586206897
MegaTwin,Canada,Feb-07,35,32,3,8.333333333333334
MegaTwin,Canada,Mar-07,34,31,3,8.571428571428571
MegaTwin,Brazil,Jan-07,80,71,9,11.11111111111111
MegaTwin,Brazil,Feb-07,78,69,9,11.39240506329114
MegaTwin,Brazil,Mar-07,77,68,9,11.538461538461538
MegaTwin,Argentina,Jan-07,88,78,10,11.235955056179776
MegaTwin,Argentina,Feb-07,89,79,10,11.11111111111111
MegaTwin,Argentina,Mar-07,97,88,9,9.183673469387756
MegaTwin,UK,Jan-07,34,30,4,11.428571428571429
MegaTwin,UK,Feb-07,38,34,4,10.256410256410257
MegaTwin,UK,Mar-07,35,32,3,8.333333333333334
MegaTwin,France,Jan-07,89,79,10,11.11111111111111
MegaTwin,France,Feb-07,94,84,10,10.526315789473685
MegaTwin,France,Mar-07,104,94,10,9.523809523809524
MegaTwin,Germany,Jan-07,35,31,4,11.11111111111111
MegaTwin,Germany,Feb-07,33,29,4,11.764705882352942
MegaTwin,Germany,Mar-07,30,26,4,12.903225806451612
MegaTwin,Spain,Jan-07,27,24,3,10.714285714285714
MegaTwin,Spain,Feb-07,31,28,3,9.375
