Markets,Months,Products,value
Canada,Jan-07,MegaTwin,28
Canada,Feb-07,MegaTwin,35
Canada,Mar-07,MegaTwin,34
Canada,Jan-07,ST900,4
Canada,Feb-07,ST900,1
Canada,Mar-07,ST900,0
Canada,Jan-07,ST1200,11
Canada,Feb-07,ST1200,16
Canada,Mar-07,ST1200,3
Canada,Jan-07,ST1200R,67
Canada,Feb-07,ST1200R,75
Canada,Mar-07,ST1200R,77
Canada,Jan-07,Bandit 900,24
Canada,Feb-07,Bandit 900,6
Canada,Mar-07,Bandit 900,1
Canada,Jan-07,Bandit 1200,40
Canada,Feb-07,Bandit 1200,21
Canada,Mar-07,Bandit 1200,4
Canada,Jan-07,Bandit 1200S,64
Canada,Feb-07,Bandit 1200S,66
Canada,Mar-07,Bandit 1200S,64
Canada,Jan-07,Enduro 350,1
Canada,Feb-07,Enduro 350,0
Canada,Mar-07,Enduro 350,0
Canada,Jan-07,Enduro 450,11
Canada,Feb-07,Enduro 450,3
Canada,Mar-07,Enduro 450,1
Canada,Jan-07,Enduro 550,63
Canada,Feb-07,Enduro 550,68
Canada,Mar-07,Enduro 550,66
Canada,Jan-07,CRX500,10
Canada,Feb-07,CRX500,3
Canada,Mar-07,CRX500,0
Canada,Jan-07,CRS550,31
Canada,Feb-07,CRS550,70
Canada,Mar-07,CRS550,38
Canada,Jan-07,CRX600,4
Canada,Feb-07,CRX600,0
Canada,Mar-07,CRX600,0
Canada,Jan-07,CRX650,63
Canada,Feb-07,CRX650,65
Canada,Mar-07,CRX650,70
Brazil,Jan-07,200S,36
Brazil,Feb-07,200S,62
Brazil,Mar-07,200S,90
Brazil,Jan-07,300S,62
Brazil,Feb-07,300S,58
Brazil,Mar-07,300S,55
Brazil,Jan-07,600S,72
Brazil,Feb-07,600S,70
Brazil,Mar-07,600S,72
Brazil,Jan-07,626S,26
Brazil,Feb-07,626S,29
Brazil,Mar-07,626S,22
Brazil,Jan-07,676S,9
Brazil,Feb-07,676S,6
Brazil,Mar-07,676S,11
Brazil,Jan-07,676RS,58
Brazil,Feb-07,676RS,58
Brazil,Mar-07,676RS,59
Brazil,Jan-07,900S,37
Brazil,Feb-07,900S,40
Brazil,Mar-07,900S,43
Brazil,Jan-07,929S,15
Brazil,Feb-07,929S,10
Brazil,Mar-07,929S,8
Brazil,Jan-07,996S,4
Brazil,Feb-07,996S,4
Brazil,Mar-07,996S,0
Brazil,Jan-07,996RS,97
Brazil,Feb-07,996RS,98
Brazil,Mar-07,996RS,99
Brazil,Jan-07,RoadStar,32
Brazil,Feb-07,RoadStar,63
Brazil,Mar-07,RoadStar,21
Brazil,Jan-07,RoadLiner,105
Brazil,Feb-07,RoadLiner,104
Brazil,Mar-07,RoadLiner,103
Brazil,Jan-07,Victory,33
Brazil,Feb-07,Victory,7
Brazil,Mar-07,Victory,1
Brazil,Jan-07,Boulevard,10
Brazil,Feb-07,Boulevard,5
Brazil,Mar-07,Boulevard,9
Brazil,Jan-07,KingTwin,9
Brazil,Feb-07,KingTwin,3
Brazil,Mar-07,KingTwin,1
Brazil,Jan-07,MegaTwin,80
Brazil,Feb-07,MegaTwin,78
Brazil,Mar-07,MegaTwin,77
Brazil,Jan-07,ST900,8
Brazil,Feb-07,ST900,2
Brazil,Mar-07,ST900,0
Brazil,Jan-07,ST1200,58
Brazil,Feb-07,ST1200,60
Brazil,Mar-07,ST1200,53
Brazil,Jan-07,ST1200R,15
Brazil,Feb-07,ST1200R,14
Brazil,Mar-07,ST1200R,18
Brazil,Jan-07,Bandit 900,67
Brazil,Feb-07,Bandit 900,11
Brazil,Mar-07,Bandit 900,57
Brazil,Jan-07,Bandit 1200,26
Brazil,Feb-07,Bandit 1200,50
Brazil,Mar-07,Bandit 1200,10
Brazil,Jan-07,Bandit 1200S,25
Brazil,Feb-07,Bandit 1200S,36
Brazil,Mar-07,Bandit 1200S,34
Brazil,Jan-07,Enduro 350,10
Brazil,Feb-07,Enduro 350,3
Brazil,Mar-07,Enduro 350,0
Brazil,Jan-07,Enduro 450,27
Brazil,Feb-07,Enduro 450,7
Brazil,Mar-07,Enduro 450,12
Brazil,Jan-07,Enduro 550,25
Brazil,Feb-07,Enduro 550,18
Brazil,Mar-07,Enduro 550,18
Brazil,Jan-07,CRX500,29
Brazil,Feb-07,CRX500,7
Brazil,Mar-07,CRX500,1
Brazil,Jan-07,CRS550,109
Brazil,Feb-07,CRS550,92
Brazil,Mar-07,CRS550,68
Brazil,Jan-07,CRX600,42
Brazil,Feb-07,CRX600,110
Brazil,Mar-07,CRX600,102
Brazil,Jan-07,CRX650,100
Brazil,Feb-07,CRX650,107
Brazil,Mar-07,CRX650,105
Argentina,Jan-07,200S,26
Argentina,Feb-07,200S,45
Argentina,Mar-07,200S,61
Argentina,Jan-07,300S,46
Argentina,Feb-07,300S,41
Argentina,Mar-07,300S,44
Argentina,Jan-07,600S,76
Argentina,Feb-07,600S,79
Argentina,Mar-07,600S,77
Argentina,Jan-07,626S,110
Argentina,Feb-07,626S,102
Argentina,Mar-07,626S,106
Argentina,Jan-07,676S,91
Argentina,Feb-07,676S,94
Argentina,Mar-07,676S,97
Argentina,Jan-07,676RS,85
Argentina,Feb-07,676RS,92
Argentina,Mar-07,676RS,90
Argentina,Jan-07,900S,35
Argentina,Feb-07,900S,34
Argentina,Mar-07,900S,35
Argentina,Jan-07,929S,11
Argentina,Feb-07,929S,6
Argentina,Mar-07,929S,7
Argentina,Jan-07,996S,96
Argentina,Feb-07,996S,95
Argentina,Mar-07,996S,105
Argentina,Jan-07,996RS,48
Argentina,Feb-07,996RS,54
Argentina,Mar-07,996RS,55
Argentina,Jan-07,RoadStar,42
Argentina,Feb-07,RoadStar,61
Argentina,Mar-07,RoadStar,105
Argentina,Jan-07,RoadLiner,62
Argentina,Feb-07,RoadLiner,61
Argentina,Mar-07,RoadLiner,63
Argentina,Jan-07,Victory,12
Argentina,Feb-07,Victory,2
Argentina,Mar-07,Victory,0
Argentina,Jan-07,Boulevard,37
Argentina,Feb-07,Boulevard,37
Argentina,Mar-07,Boulevard,39
Argentina,Jan-07,KingTwin,33
Argentina,Feb-07,KingTwin,32
Argentina,Mar-07,KingTwin,92
Argentina,Jan-07,MegaTwin,88
Argentina,Feb-07,MegaTwin,89
Argentina,Mar-07,MegaTwin,97
Argentina,Jan-07,ST900,47
Argentina,Feb-07,ST900,8
Argentina,Mar-07,ST900,34
Argentina,Jan-07,ST1200,86
Argentina,Feb-07,ST1200,91
Argentina,Mar-07,ST1200,91
Argentina,Jan-07,ST1200R,47
Argentina,Feb-07,ST1200R,47
Argentina,Mar-07,ST1200R,54
Argentina,Jan-07,Bandit 900,26
Argentina,Feb-07,Bandit 900,8
Argentina,Mar-07,Bandit 900,1
Argentina,Jan-07,Bandit 1200,33
Argentina,Feb-07,Bandit 1200,9
Argentina,Mar-07,Bandit 1200,93
Argentina,Jan-07,Bandit 1200S,90
Argentina,Feb-07,Bandit 1200S,96
Argentina,Mar-07,Bandit 1200S,99
Argentina,Jan-07,Enduro 350,55
Argentina,Feb-07,Enduro 350,7
Argentina,Mar-07,Enduro 350,26
Argentina,Jan-07,Enduro 450,7
Argentina,Feb-07,Enduro 450,2
Argentina,Mar-07,Enduro 450,0
Argentina,Jan-07,Enduro 550,56
Argentina,Feb-07,Enduro 550,58
Argentina,Mar-07,Enduro 550,56
Argentina,Jan-07,CRX500,35
Argentina,Feb-07,CRX500,8
Argentina,Mar-07,CRX500,2
Argentina,Jan-07,CRS550,44
Argentina,Feb-07,CRS550,86
Argentina,Mar-07,CRS550,105
Argentina,Jan-07,CRX600,19
Argentina,Feb-07,CRX600,4
Argentina,Mar-07,CRX600,34
Argentina,Jan-07,CRX650,62
Argentina,Feb-07,CRX650,58
Argentina,Mar-07,CRX650,63
UK,Jan-07,200S,29
UK,Feb-07,200S,73
UK,Mar-07,200S,66
UK,Jan-07,300S,27
UK,Feb-07,300S,30
UK,Mar-07,300S,30
UK,Jan-07,600S,26
UK,Feb-07,600S,30
UK,Mar-07,600S,30
UK,Jan-07,626S,31
UK,Feb-07,626S,29
UK,Mar-07,626S,28
UK,Jan-07,676S,28
UK,Feb-07,676S,27
UK,Mar-07,676S,31
UK,Jan-07,676RS,24
UK,Feb-07,676RS,32
UK,Mar-07,676RS,33
UK,Jan-07,900S,115
UK,Feb-07,900S,107
UK,Mar-07,900S,111
UK,Jan-07,929S,53
UK,Feb-07,929S,52
UK,Mar-07,929S,54
UK,Jan-07,996S,47
UK,Feb-07,996S,46
UK,Mar-07,996S,43
UK,Jan-07,996RS,53
UK,Feb-07,996RS,63
UK,Mar-07,996RS,63
UK,Jan-07,RoadStar,14
UK,Feb-07,RoadStar,4
UK,Mar-07,RoadStar,1
UK,Jan-07,RoadLiner,38
UK,Feb-07,RoadLiner,44
UK,Mar-07,RoadLiner,37
UK,Jan-07,Victory,14
UK,Feb-07,Victory,4
UK,Mar-07,Victory,1
UK,Jan-07,Boulevard,38
UK,Feb-07,Boulevard,38
UK,Mar-07,Boulevard,40
UK,Jan-07,KingTwin,32
UK,Feb-07,KingTwin,69
UK,Mar-07,KingTwin,38
UK,Jan-07,MegaTwin,34
UK,Feb-07,MegaTwin,38
UK,Mar-07,MegaTwin,35
UK,Jan-07,ST900,16
UK,Feb-07,ST900,5
UK,Mar-07,ST900,1
UK,Jan-07,ST1200,93
UK,Feb-07,ST1200,101
UK,Mar-07,ST1200,95
UK,Jan-07,ST1200R,108
UK,Feb-07,ST1200R,110
UK,Mar-07,ST1200R,113
UK,Jan-07,Bandit 900,43
UK,Feb-07,Bandit 900,11
UK,Mar-07,Bandit 900,83
UK,Jan-07,Bandit 1200,101
UK,Feb-07,Bandit 1200,55
UK,Mar-07,Bandit 1200,60
UK,Jan-07,Bandit 1200S,69
UK,Feb-07,Bandit 1200S,63
UK,Mar-07,Bandit 1200S,68
UK,Jan-07,Enduro 350,4
UK,Feb-07,Enduro 350,2
UK,Mar-07,Enduro 350,0
UK,Jan-07,Enduro 450,24
UK,Feb-07,Enduro 450,6
UK,Mar-07,Enduro 450,1
UK,Jan-07,Enduro 550,50
UK,Feb-07,Enduro 550,52
UK,Mar-07,Enduro 550,53
UK,Jan-07,CRX500,33
UK,Feb-07,CRX500,8
UK,Mar-07,CRX500,2
UK,Jan-07,CRS550,44
UK,Feb-07,CRS550,106
UK,Mar-07,CRS550,74
UK,Jan-07,CRX600,16
UK,Feb-07,CRX600,4
UK,Mar-07,CRX600,27
UK,Jan-07,CRX650,101
UK,Feb-07,CRX650,97
UK,Mar-07,CRX650,102
France,Jan-07,200S,33
France,Feb-07,200S,79
France,Mar-07,200S,67
France,Jan-07,300S,108
France,Feb-07,300S,108
France,Mar-07,300S,105
France,Jan-07,600S,118
France,Feb-07,600S,119
France,Mar-07,600S,115
France,Jan-07,626S,22
France,Feb-07,626S,22
France,Mar-07,626S,25
France,Jan-07,676S,83
France,Feb-07,676S,88
France,Mar-07,676S,85
France,Jan-07,676RS,35
France,Feb-07,676RS,39
France,Mar-07,676RS,36
France,Jan-07,900S,41
France,Feb-07,900S,37
France,Mar-07,900S,44
France,Jan-07,929S,116
France,Feb-07,929S,113
France,Mar-07,929S,110
France,Jan-07,996S,21
France,Feb-07,996S,53
France,Mar-07,996S,60
France,Jan-07,996RS,25
France,Feb-07,996RS,28
France,Mar-07,996RS,34
France,Jan-07,RoadStar,37
France,Feb-07,RoadStar,43
France,Mar-07,RoadStar,90
France,Jan-07,RoadLiner,53
France,Feb-07,RoadLiner,55
France,Mar-07,RoadLiner,58
France,Jan-07,Victory,19
France,Feb-07,Victory,5
France,Mar-07,Victory,1
France,Jan-07,Boulevard,26
France,Feb-07,Boulevard,28
France,Mar-07,Boulevard,33
France,Jan-07,KingTwin,82
France,Feb-07,KingTwin,10
France,Mar-07,KingTwin,81
France,Jan-07,MegaTwin,89
France,Feb-07,MegaTwin,94
France,Mar-07,MegaTwin,104
France,Jan-07,ST900,26
France,Feb-07,ST900,6
France,Mar-07,ST900,1
France,Jan-07,ST1200,76
France,Feb-07,ST1200,81
France,Mar-07,ST1200,82
France,Jan-07,ST1200R,69
France,Feb-07,ST1200R,68
France,Mar-07,ST1200R,69
France,Jan-07,Bandit 900,40
France,Feb-07,Bandit 900,34
France,Mar-07,Bandit 900,15
France,Jan-07,Bandit 1200,9
France,Feb-07,Bandit 1200,2
France,Mar-07,Bandit 1200,1
France,Jan-07,Bandit 1200S,99
France,Feb-07,Bandit 1200S,100
France,Mar-07,Bandit 1200S,104
France,Jan-07,Enduro 350,92
France,Feb-07,Enduro 350,11
France,Mar-07,Enduro 350,74
France,Jan-07,Enduro 450,28
France,Feb-07,Enduro 450,7
France,Mar-07,Enduro 450,1
France,Jan-07,Enduro 550,40
France,Feb-07,Enduro 550,40
France,Mar-07,Enduro 550,39
France,Jan-07,CRX500,26
France,Feb-07,CRX500,6
France,Mar-07,CRX500,1
France,Jan-07,CRS550,29
France,Feb-07,CRS550,68
France,Mar-07,CRS550,35
France,Jan-07,CRX600,44
France,Feb-07,CRX600,18
France,Mar-07,CRX600,18
France,Jan-07,CRX650,52
France,Feb-07,CRX650,55
France,Mar-07,CRX650,61
Germany,Jan-07,200S,9
Germany,Feb-07,200S,30
Germany,Mar-07,200S,22
Germany,Jan-07,300S,36
Germany,Feb-07,300S,45
Germany,Mar-07,300S,44
Germany,Jan-07,600S,107
Germany,Feb-07,600S,113
Germany,Mar-07,600S,115
Germany,Jan-07,626S,22
Germany,Feb-07,626S,27
Germany,Mar-07,626S,24
Germany,Jan-07,676S,110
Germany,Feb-07,676S,122
Germany,Mar-07,676S,126
Germany,Jan-07,676RS,58
Germany,Feb-07,676RS,54
Germany,Mar-07,676RS,59
Germany,Jan-07,900S,43
Germany,Feb-07,900S,35
Germany,Mar-07,900S,39
Germany,Jan-07,929S,15
Germany,Feb-07,929S,21
Germany,Mar-07,929S,20
Germany,Jan-07,996S,47
Germany,Feb-07,996S,4
Germany,Mar-07,996S,49
Germany,Jan-07,996RS,34
Germany,Feb-07,996RS,29
Germany,Mar-07,996RS,28
Germany,Jan-07,RoadStar,36
Germany,Feb-07,RoadStar,81
Germany,Mar-07,RoadStar,44
Germany,Jan-07,RoadLiner,64
Germany,Feb-07,RoadLiner,67
Germany,Mar-07,RoadLiner,69
Germany,Jan-07,Victory,30
Germany,Feb-07,Victory,8
Germany,Mar-07,Victory,39
Germany,Jan-07,Boulevard,4
Germany,Feb-07,Boulevard,12
Germany,Mar-07,Boulevard,12
Germany,Jan-07,KingTwin,89
Germany,Feb-07,KingTwin,12
Germany,Mar-07,KingTwin,118
Germany,Jan-07,MegaTwin,35
Germany,Feb-07,MegaTwin,33
Germany,Mar-07,MegaTwin,30
Germany,Jan-07,ST900,16
Germany,Feb-07,ST900,5
Germany,Mar-07,ST900,1
Germany,Jan-07,ST1200,15
Germany,Feb-07,ST1200,23
Germany,Mar-07,ST1200,22
Germany,Jan-07,ST1200R,32
Germany,Feb-07,ST1200R,27
Germany,Mar-07,ST1200R,27
Germany,Jan-07,Bandit 900,11
Germany,Feb-07,Bandit 900,3
Germany,Mar-07,Bandit 900,1
Germany,Jan-07,Bandit 1200,31
Germany,Feb-07,Bandit 1200,7
Germany,Mar-07,Bandit 1200,1
Germany,Jan-07,Bandit 1200S,58
Germany,Feb-07,Bandit 1200S,59
Germany,Mar-07,Bandit 1200S,53
Germany,Jan-07,Enduro 350,4
Germany,Feb-07,Enduro 350,1
Germany,Mar-07,Enduro 350,0
Germany,Jan-07,Enduro 450,41
Germany,Feb-07,Enduro 450,10
Germany,Mar-07,Enduro 450,89
Germany,Jan-07,Enduro 550,89
Germany,Feb-07,Enduro 550,91
Germany,Mar-07,Enduro 550,97
Germany,Jan-07,CRX500,24
Germany,Feb-07,CRX500,6
Germany,Mar-07,CRX500,1
Germany,Jan-07,CRS550,27
Germany,Feb-07,CRS550,66
Germany,Mar-07,CRS550,20
Germany,Jan-07,CRX600,7
Germany,Feb-07,CRX600,2
Germany,Mar-07,CRX600,0
Germany,Jan-07,CRX650,37
Germany,Feb-07,CRX650,42
Germany,Mar-07,CRX650,37
Spain,Jan-07,200S,27
Spain,Feb-07,200S,65
Spain,Mar-07,200S,59
Spain,Jan-07,300S,19
Spain,Feb-07,300S,18
Spain,Mar-07,300S,23
Spain,Jan-07,600S,69
Spain,Feb-07,600S,73
Spain,Mar-07,600S,78
Spain,Jan-07,626S,19
Spain,Feb-07,626S,21
Spain,Mar-07,626S,12
Spain,Jan-07,676S,46
Spain,Feb-07,676S,45
Spain,Mar-07,676S,47
Spain,Jan-07,676RS,64
Spain,Feb-07,676RS,63
Spain,Mar-07,676RS,59
Spain,Jan-07,900S,59
Spain,Feb-07,900S,61
Spain,Mar-07,900S,60
Spain,Jan-07,929S,94
Spain,Feb-07,929S,99
Spain,Mar-07,929S,92
Spain,Jan-07,996S,85
Spain,Feb-07,996S,64
Spain,Mar-07,996S,98
Spain,Jan-07,996RS,71
Spain,Feb-07,996RS,75
Spain,Mar-07,996RS,73
Spain,Jan-07,RoadStar,34
Spain,Feb-07,RoadStar,8
Spain,Mar-07,RoadStar,85
Spain,Jan-07,RoadLiner,81
Spain,Feb-07,RoadLiner,72
Spain,Mar-07,RoadLiner,76
Spain,Jan-07,Victory,15
Spain,Feb-07,Victory,4
Spain,Mar-07,Victory,1
Spain,Jan-07,Boulevard,101
Spain,Feb-07,Boulevard,95
Spain,Mar-07,Boulevard,102
Spain,Jan-07,KingTwin,34
Spain,Feb-07,KingTwin,95
Spain,Mar-07,KingTwin,46
Spain,Jan-07,MegaTwin,27
Spain,Feb-07,MegaTwin,31
Spain,Mar-07,MegaTwin,32
Spain,Jan-07,ST900,17
Spain,Feb-07,ST900,4
Spain,Mar-07,ST900,1
Spain,Jan-07,ST1200,95
Spain,Feb-07,ST1200,89
Spain,Mar-07,ST1200,95
Spain,Jan-07,ST1200R,47
Spain,Feb-07,ST1200R,54
Spain,Mar-07,ST1200R,58
Spain,Jan-07,Bandit 900,19
Spain,Feb-07,Bandit 900,5
Spain,Mar-07,Bandit 900,1
Spain,Jan-07,Bandit 1200,43
Spain,Feb-07,Bandit 1200,38
Spain,Mar-07,Bandit 1200,111
Spain,Jan-07,Bandit 1200S,7
Spain,Feb-07,Bandit 1200S,11
Spain,Mar-07,Bandit 1200S,9
Spain,Jan-07,Enduro 350,39
Spain,Feb-07,Enduro 350,95
Spain,Mar-07,Enduro 350,27
Spain,Jan-07,Enduro 450,15
Spain,Feb-07,Enduro 450,4
Spain,Mar-07,Enduro 450,1
Spain,Jan-07,Enduro 550,57
Spain,Feb-07,Enduro 550,63
Spain,Mar-07,Enduro 550,65
Spain,Jan-07,CRX500,22
Spain,Feb-07,CRX500,6
Spain,Mar-07,CRX500,1
Spain,Jan-07,CRS550,26
Spain,Feb-07,CRS550,61
Spain,Mar-07,CRS550,23
Spain,Jan-07,CRX600,20
Spain,Feb-07,CRX600,5
Spain,Mar-07,CRX600,42
Spain,Jan-07,CRX650,98
Spain,Feb-07,CRX650,95
Spain,Mar-07,CRX650,98
Italy,Jan-07,200S,13
Italy,Feb-07,200S,30
Italy,Mar-07,200S,36
Italy,Jan-07,300S,7
Italy,Feb-07,300S,9
Italy,Mar-07,300S,6
Italy,Jan-07,600S,81
Italy,Feb-07,600S,83
Italy,Mar-07,600S,82
Italy,Jan-07,626S,24
Italy,Feb-07,626S,25
Italy,Mar-07,626S,24
Italy,Jan-07,676S,104
Italy,Feb-07,676S,115
Italy,Mar-07,676S,120
Italy,Jan-07,676RS,35
Italy,Feb-07,676RS,39
Italy,Mar-07,676RS,34
Italy,Jan-07,900S,22
Italy,Feb-07,900S,24
Italy,Mar-07,900S,22
Italy,Jan-07,929S,39
Italy,Feb-07,929S,45
Italy,Mar-07,929S,46
Italy,Jan-07,996S,25
Italy,Feb-07,996S,10
Italy,Mar-07,996S,5
Italy,Jan-07,996RS,71
Italy,Feb-07,996RS,72
Italy,Mar-07,996RS,76
Italy,Jan-07,RoadStar,92
Italy,Feb-07,RoadStar,11
Italy,Mar-07,RoadStar,106
Italy,Jan-07,RoadLiner,43
Italy,Feb-07,RoadLiner,45
Italy,Mar-07,RoadLiner,45
Italy,Jan-07,Victory,35
Italy,Feb-07,Victory,8
Italy,Mar-07,Victory,88
Italy,Jan-07,Boulevard,77
Italy,Feb-07,Boulevard,83
Italy,Mar-07,Boulevard,84
Italy,Jan-07,KingTwin,26
Italy,Feb-07,KingTwin,35
Italy,Mar-07,KingTwin,10
Italy,Jan-07,MegaTwin,88
Italy,Feb-07,MegaTwin,92
Italy,Mar-07,MegaTwin,90
Italy,Jan-07,ST900,21
Italy,Feb-07,ST900,5
Italy,Mar-07,ST900,1
Italy,Jan-07,ST1200,54
Italy,Feb-07,ST1200,66
Italy,Mar-07,ST1200,68
Italy,Jan-07,ST1200R,9
Italy,Feb-07,ST1200R,7
Italy,Mar-07,ST1200R,6
Italy,Jan-07,Bandit 900,66
Italy,Feb-07,Bandit 900,10
Italy,Mar-07,Bandit 900,27
Italy,Jan-07,Bandit 1200,14
Italy,Feb-07,Bandit 1200,3
Italy,Mar-07,Bandit 1200,1
Italy,Jan-07,Bandit 1200S,26
Italy,Feb-07,Bandit 1200S,24
Italy,Mar-07,Bandit 1200S,23
Italy,Jan-07,Enduro 350,2
Italy,Feb-07,Enduro 350,1
Italy,Mar-07,Enduro 350,0
Italy,Jan-07,Enduro 450,14
Italy,Feb-07,Enduro 450,4
Italy,Mar-07,Enduro 450,1
Italy,Jan-07,Enduro 550,95
Italy,Feb-07,Enduro 550,99
Italy,Mar-07,Enduro 550,106
Italy,Jan-07,CRX500,42
Italy,Feb-07,CRX500,11
Italy,Mar-07,CRX500,2
Italy,Jan-07,CRS550,66
Italy,Feb-07,CRS550,6
Italy,Mar-07,CRS550,30
Italy,Jan-07,CRX600,28
Italy,Feb-07,CRX600,32
Italy,Mar-07,CRX600,73
Italy,Jan-07,CRX650,69
Italy,Feb-07,CRX650,71
Italy,Mar-07,CRX650,69
China,Jan-07,200S,35
China,Feb-07,200S,59
China,Mar-07,200S,87
China,Jan-07,300S,33
China,Feb-07,300S,37
China,Mar-07,300S,29
China,Jan-07,600S,99
China,Feb-07,600S,102
China,Mar-07,600S,104
China,Jan-07,626S,79
China,Feb-07,626S,71
China,Mar-07,626S,78
China,Jan-07,676S,58
China,Feb-07,676S,59
China,Mar-07,676S,68
China,Jan-07,676RS,36
China,Feb-07,676RS,37
China,Mar-07,676RS,39
China,Jan-07,900S,13
China,Feb-07,900S,12
China,Mar-07,900S,16
China,Jan-07,929S,67
China,Feb-07,929S,67
China,Mar-07,929S,71
China,Jan-07,996S,98
China,Feb-07,996S,101
China,Mar-07,996S,86
China,Jan-07,996RS,5
China,Feb-07,996RS,11
China,Mar-07,996RS,3
China,Jan-07,RoadStar,14
China,Feb-07,RoadStar,4
China,Mar-07,RoadStar,1
China,Jan-07,RoadLiner,64
China,Feb-07,RoadLiner,60
China,Mar-07,RoadLiner,64
China,Jan-07,Victory,32
China,Feb-07,Victory,42
China,Mar-07,Victory,18
China,Jan-07,Boulevard,100
China,Feb-07,Boulevard,93
China,Mar-07,Boulevard,98
China,Jan-07,KingTwin,31
China,Feb-07,KingTwin,62
China,Mar-07,KingTwin,31
China,Jan-07,MegaTwin,0
China,Feb-07,MegaTwin,9
China,Mar-07,MegaTwin,7
China,Jan-07,ST900,22
China,Feb-07,ST900,5
China,Mar-07,ST900,1
China,Jan-07,ST1200,99
China,Feb-07,ST1200,100
China,Mar-07,ST1200,100
China,Jan-07,ST1200R,86
China,Feb-07,ST1200R,88
China,Mar-07,ST1200R,85
China,Jan-07,Bandit 900,22
