Period,Product Category,Measures,value
Jan 2020,Cruiser,Achievement%_Actual,0
Jan 2020,Cruiser,Achievement%_Forecast,0
Jan 2020,Cruiser,Production,0
Jan 2020,Cruiser,Marginal Profits.,0
Jan 2020,Cruiser,Max Trust 95%,0
Jan 2020,Cruiser,Min Trust 95%,0
Jan 2020,Cruiser,Ecart type WML,0
Jan 2020,Touring,store_sales,0
Jan 2020,Touring,store_command,0
Jan 2020,Touring,store_stocks,0
Jan 2020,Touring,Labor Costs,0
Jan 2020,Touring,Actuals,0
Jan 2020,Touring,Sellers_Forecast,0
Jan 2020,Touring,Sales Forecast,0
Jan 2020,Touring,Forecast Arma,0
Jan 2020,Touring,Demand Forecast.,0
Jan 2020,Touring,Target,0
Jan 2020,Touring,Last Years Actuals,0
Jan 2020,Touring,Unit Price,0
Jan 2020,Touring,Unit Cost,0
Jan 2020,Touring,Revenue,0
Jan 2020,Touring,Cost of Sales,0
Jan 2020,Touring,Gross Margin,0
Jan 2020,Touring,Production Cost Mult,0
Jan 2020,Touring,Deviation,0
Jan 2020,Touring,Marginal Profit Mult Executed Sales,0
Jan 2020,Touring,Marginal Profits,0
Jan 2020,Touring,Sales,0
Jan 2020,Touring,Executed Sales,0
Jan 2020,Touring,Inventories,0
Jan 2020,Touring,Allocations,0
Jan 2020,Touring,Statistical Base Forecast,0
Jan 2020,Touring,Sales Adjustment,0
Jan 2020,Touring,Product Management Adjustment,0
Jan 2020,Touring,Achievement%_Actual,0
Jan 2020,Touring,Achievement%_Forecast,0
Jan 2020,Touring,Production,0
Jan 2020,Touring,Marginal Profits.,0
Jan 2020,Touring,Max Trust 95%,0
Jan 2020,Touring,Min Trust 95%,0
Jan 2020,Touring,Ecart type WML,0
Jan 2020,Off-Road,store_sales,0
Jan 2020,Off-Road,store_command,0
Jan 2020,Off-Road,store_stocks,0
Jan 2020,Off-Road,Labor Costs,0
Jan 2020,Off-Road,Actuals,0
Jan 2020,Off-Road,Sellers_Forecast,0
Jan 2020,Off-Road,Sales Forecast,0
Jan 2020,Off-Road,Forecast Arma,0
Jan 2020,Off-Road,Demand Forecast.,0
Jan 2020,Off-Road,Target,20000
Jan 2020,Off-Road,Last Years Actuals,0
Jan 2020,Off-Road,Unit Price,0
Jan 2020,Off-Road,Unit Cost,0
Jan 2020,Off-Road,Revenue,0
Jan 2020,Off-Road,Cost of Sales,0
Jan 2020,Off-Road,Gross Margin,0
Jan 2020,Off-Road,Production Cost Mult,0
Jan 2020,Off-Road,Deviation,0
Jan 2020,Off-Road,Marginal Profit Mult Executed Sales,0
Jan 2020,Off-Road,Marginal Profits,0
Jan 2020,Off-Road,Sales,0
Jan 2020,Off-Road,Executed Sales,21882
Jan 2020,Off-Road,Inventories,0
Jan 2020,Off-Road,Allocations,0
Jan 2020,Off-Road,Statistical Base Forecast,0
Jan 2020,Off-Road,Sales Adjustment,0
Jan 2020,Off-Road,Product Management Adjustment,0
Jan 2020,Off-Road,Achievement%_Actual,0
Jan 2020,Off-Road,Achievement%_Forecast,0
Jan 2020,Off-Road,Production,0
Jan 2020,Off-Road,Marginal Profits.,0
Jan 2020,Off-Road,Max Trust 95%,0
Jan 2020,Off-Road,Min Trust 95%,0
Jan 2020,Off-Road,Ecart type WML,0
Feb 2020,Street,store_sales,0
Feb 2020,Street,store_command,0
Feb 2020,Street,store_stocks,0
Feb 2020,Street,Labor Costs,0
Feb 2020,Street,Actuals,0
Feb 2020,Street,Sellers_Forecast,0
Feb 2020,Street,Sales Forecast,0
Feb 2020,Street,Forecast Arma,0
Feb 2020,Street,Demand Forecast.,0
Feb 2020,Street,Target,0
Feb 2020,Street,Last Years Actuals,0
Feb 2020,Street,Unit Price,0
Feb 2020,Street,Unit Cost,0
Feb 2020,Street,Revenue,0
Feb 2020,Street,Cost of Sales,0
Feb 2020,Street,Gross Margin,0
Feb 2020,Street,Production Cost Mult,0
Feb 2020,Street,Deviation,0
Feb 2020,Street,Marginal Profit Mult Executed Sales,0
Feb 2020,Street,Marginal Profits,0
Feb 2020,Street,Sales,0
Feb 2020,Street,Executed Sales,0
Feb 2020,Street,Inventories,0
Feb 2020,Street,Allocations,0
Feb 2020,Street,Statistical Base Forecast,0
Feb 2020,Street,Sales Adjustment,0
Feb 2020,Street,Product Management Adjustment,0
Feb 2020,Street,Achievement%_Actual,0
Feb 2020,Street,Achievement%_Forecast,0
Feb 2020,Street,Production,0
Feb 2020,Street,Marginal Profits.,0
Feb 2020,Street,Max Trust 95%,0
Feb 2020,Street,Min Trust 95%,0
Feb 2020,Street,Ecart type WML,0
Feb 2020,Cruiser,store_sales,0
Feb 2020,Cruiser,store_command,0
Feb 2020,Cruiser,store_stocks,0
Feb 2020,Cruiser,Labor Costs,0
Feb 2020,Cruiser,Actuals,0
Feb 2020,Cruiser,Sellers_Forecast,0
Feb 2020,Cruiser,Sales Forecast,0
Feb 2020,Cruiser,Forecast Arma,0
Feb 2020,Cruiser,Demand Forecast.,0
Feb 2020,Cruiser,Target,0
Feb 2020,Cruiser,Last Years Actuals,0
Feb 2020,Cruiser,Unit Price,0
Feb 2020,Cruiser,Unit Cost,0
Feb 2020,Cruiser,Revenue,0
Feb 2020,Cruiser,Cost of Sales,0
Feb 2020,Cruiser,Gross Margin,0
Feb 2020,Cruiser,Production Cost Mult,0
Feb 2020,Cruiser,Deviation,0
Feb 2020,Cruiser,Marginal Profit Mult Executed Sales,0
Feb 2020,Cruiser,Marginal Profits,0
Feb 2020,Cruiser,Sales,0
Feb 2020,Cruiser,Executed Sales,0
Feb 2020,Cruiser,Inventories,0
Feb 2020,Cruiser,Allocations,0
Feb 2020,Cruiser,Statistical Base Forecast,0
Feb 2020,Cruiser,Sales Adjustment,0
Feb 2020,Cruiser,Product Management Adjustment,0
Feb 2020,Cruiser,Achievement%_Actual,0
Feb 2020,Cruiser,Achievement%_Forecast,0
Feb 2020,Cruiser,Production,0
Feb 2020,Cruiser,Marginal Profits.,0
Feb 2020,Cruiser,Max Trust 95%,0
Feb 2020,Cruiser,Min Trust 95%,0
Feb 2020,Cruiser,Ecart type WML,0
Feb 2020,Touring,store_sales,0
Feb 2020,Touring,store_command,0
Feb 2020,Touring,store_stocks,0
Feb 2020,Touring,Labor Costs,0
Feb 2020,Touring,Actuals,0
Feb 2020,Touring,Sellers_Forecast,0
Feb 2020,Touring,Sales Forecast,0
Feb 2020,Touring,Forecast Arma,0
Feb 2020,Touring,Demand Forecast.,0
Feb 2020,Touring,Target,0
Feb 2020,Touring,Last Years Actuals,0
Feb 2020,Touring,Unit Price,0
Feb 2020,Touring,Unit Cost,0
Feb 2020,Touring,Revenue,0
Feb 2020,Touring,Cost of Sales,0
Feb 2020,Touring,Gross Margin,0
Feb 2020,Touring,Production Cost Mult,0
Feb 2020,Touring,Deviation,0
Feb 2020,Touring,Marginal Profit Mult Executed Sales,0
Feb 2020,Touring,Marginal Profits,0
Feb 2020,Touring,Sales,0
Feb 2020,Touring,Executed Sales,0
Feb 2020,Touring,Inventories,0
Feb 2020,Touring,Allocations,0
Feb 2020,Touring,Statistical Base Forecast,0
Feb 2020,Touring,Sales Adjustment,0
Feb 2020,Touring,Product Management Adjustment,0
Feb 2020,Touring,Achievement%_Actual,0
Feb 2020,Touring,Achievement%_Forecast,0
Feb 2020,Touring,Production,0
Feb 2020,Touring,Marginal Profits.,0
Feb 2020,Touring,Max Trust 95%,0
Feb 2020,Touring,Min Trust 95%,0
Feb 2020,Touring,Ecart type WML,0
Feb 2020,Off-Road,store_sales,0
Feb 2020,Off-Road,store_command,0
Feb 2020,Off-Road,store_stocks,0
Feb 2020,Off-Road,Labor Costs,0
Feb 2020,Off-Road,Actuals,0
Feb 2020,Off-Road,Sellers_Forecast,0
Feb 2020,Off-Road,Sales Forecast,0
Feb 2020,Off-Road,Forecast Arma,0
Feb 2020,Off-Road,Demand Forecast.,0
Feb 2020,Off-Road,Target,21000
Feb 2020,Off-Road,Last Years Actuals,0
Feb 2020,Off-Road,Unit Price,0
Feb 2020,Off-Road,Unit Cost,0
Feb 2020,Off-Road,Revenue,0
Feb 2020,Off-Road,Cost of Sales,0
Feb 2020,Off-Road,Gross Margin,0
Feb 2020,Off-Road,Production Cost Mult,0
Feb 2020,Off-Road,Deviation,0
Feb 2020,Off-Road,Marginal Profit Mult Executed Sales,0
Feb 2020,Off-Road,Marginal Profits,0
Feb 2020,Off-Road,Sales,0
Feb 2020,Off-Road,Executed Sales,22092
Feb 2020,Off-Road,Inventories,0
Feb 2020,Off-Road,Allocations,0
Feb 2020,Off-Road,Statistical Base Forecast,0
Feb 2020,Off-Road,Sales Adjustment,0
Feb 2020,Off-Road,Product Management Adjustment,0
Feb 2020,Off-Road,Achievement%_Actual,0
Feb 2020,Off-Road,Achievement%_Forecast,0
Feb 2020,Off-Road,Production,0
Feb 2020,Off-Road,Marginal Profits.,0
Feb 2020,Off-Road,Max Trust 95%,0
Feb 2020,Off-Road,Min Trust 95%,0
Feb 2020,Off-Road,Ecart type WML,0
Mar 2020,Street,store_sales,0
Mar 2020,Street,store_command,0
Mar 2020,Street,store_stocks,0
Mar 2020,Street,Labor Costs,0
Mar 2020,Street,Actuals,0
Mar 2020,Street,Sellers_Forecast,0
Mar 2020,Street,Sales Forecast,0
Mar 2020,Street,Forecast Arma,0
Mar 2020,Street,Demand Forecast.,0
Mar 2020,Street,Target,0
Mar 2020,Street,Last Years Actuals,0
Mar 2020,Street,Unit Price,0
Mar 2020,Street,Unit Cost,0
Mar 2020,Street,Revenue,0
Mar 2020,Street,Cost of Sales,0
Mar 2020,Street,Gross Margin,0
Mar 2020,Street,Production Cost Mult,0
Mar 2020,Street,Deviation,0
Mar 2020,Street,Marginal Profit Mult Executed Sales,0
Mar 2020,Street,Marginal Profits,0
Mar 2020,Street,Sales,0
Mar 2020,Street,Executed Sales,0
Mar 2020,Street,Inventories,0
Mar 2020,Street,Allocations,0
Mar 2020,Street,Statistical Base Forecast,0
Mar 2020,Street,Sales Adjustment,0
Mar 2020,Street,Product Management Adjustment,0
Mar 2020,Street,Achievement%_Actual,0
Mar 2020,Street,Achievement%_Forecast,0
Mar 2020,Street,Production,0
Mar 2020,Street,Marginal Profits.,0
Mar 2020,Street,Max Trust 95%,0
Mar 2020,Street,Min Trust 95%,0
Mar 2020,Street,Ecart type WML,0
Mar 2020,Cruiser,store_sales,0
Mar 2020,Cruiser,store_command,0
Mar 2020,Cruiser,store_stocks,0
Mar 2020,Cruiser,Labor Costs,0
Mar 2020,Cruiser,Actuals,0
Mar 2020,Cruiser,Sellers_Forecast,0
Mar 2020,Cruiser,Sales Forecast,0
Mar 2020,Cruiser,Forecast Arma,0
Mar 2020,Cruiser,Demand Forecast.,0
Mar 2020,Cruiser,Target,0
Mar 2020,Cruiser,Last Years Actuals,0
Mar 2020,Cruiser,Unit Price,0
Mar 2020,Cruiser,Unit Cost,0
Mar 2020,Cruiser,Revenue,0
Mar 2020,Cruiser,Cost of Sales,0
Mar 2020,Cruiser,Gross Margin,0
Mar 2020,Cruiser,Production Cost Mult,0
Mar 2020,Cruiser,Deviation,0
Mar 2020,Cruiser,Marginal Profit Mult Executed Sales,0
Mar 2020,Cruiser,Marginal Profits,0
Mar 2020,Cruiser,Sales,0
Mar 2020,Cruiser,Executed Sales,0
Mar 2020,Cruiser,Inventories,0
Mar 2020,Cruiser,Allocations,0
Mar 2020,Cruiser,Statistical Base Forecast,0
Mar 2020,Cruiser,Sales Adjustment,0
Mar 2020,Cruiser,Product Management Adjustment,0
Mar 2020,Cruiser,Achievement%_Actual,0
Mar 2020,Cruiser,Achievement%_Forecast,0
Mar 2020,Cruiser,Production,0
Mar 2020,Cruiser,Marginal Profits.,0
Mar 2020,Cruiser,Max Trust 95%,0
Mar 2020,Cruiser,Min Trust 95%,0
Mar 2020,Cruiser,Ecart type WML,0
Mar 2020,Touring,store_sales,0
Mar 2020,Touring,store_command,0
Mar 2020,Touring,store_stocks,0
Mar 2020,Touring,Labor Costs,0
Mar 2020,Touring,Actuals,0
Mar 2020,Touring,Sellers_Forecast,0
Mar 2020,Touring,Sales Forecast,0
Mar 2020,Touring,Forecast Arma,0
Mar 2020,Touring,Demand Forecast.,0
Mar 2020,Touring,Target,0
Mar 2020,Touring,Last Years Actuals,0
Mar 2020,Touring,Unit Price,0
Mar 2020,Touring,Unit Cost,0
Mar 2020,Touring,Revenue,0
Mar 2020,Touring,Cost of Sales,0
Mar 2020,Touring,Gross Margin,0
Mar 2020,Touring,Production Cost Mult,0
Mar 2020,Touring,Deviation,0
Mar 2020,Touring,Marginal Profit Mult Executed Sales,0
Mar 2020,Touring,Marginal Profits,0
Mar 2020,Touring,Sales,0
Mar 2020,Touring,Executed Sales,0
Mar 2020,Touring,Inventories,0
Mar 2020,Touring,Allocations,0
Mar 2020,Touring,Statistical Base Forecast,0
Mar 2020,Touring,Sales Adjustment,0
Mar 2020,Touring,Product Management Adjustment,0
Mar 2020,Touring,Achievement%_Actual,0
Mar 2020,Touring,Achievement%_Forecast,0
Mar 2020,Touring,Production,0
Mar 2020,Touring,Marginal Profits.,0
Mar 2020,Touring,Max Trust 95%,0
Mar 2020,Touring,Min Trust 95%,0
Mar 2020,Touring,Ecart type WML,0
Mar 2020,Off-Road,store_sales,0
Mar 2020,Off-Road,store_command,0
Mar 2020,Off-Road,store_stocks,0
Mar 2020,Off-Road,Labor Costs,0
Mar 2020,Off-Road,Actuals,0
Mar 2020,Off-Road,Sellers_Forecast,0
Mar 2020,Off-Road,Sales Forecast,0
Mar 2020,Off-Road,Forecast Arma,0
Mar 2020,Off-Road,Demand Forecast.,0
Mar 2020,Off-Road,Target,21500
Mar 2020,Off-Road,Last Years Actuals,0
Mar 2020,Off-Road,Unit Price,0
Mar 2020,Off-Road,Unit Cost,0
Mar 2020,Off-Road,Revenue,0
Mar 2020,Off-Road,Cost of Sales,0
Mar 2020,Off-Road,Gross Margin,0
Mar 2020,Off-Road,Production Cost Mult,0
Mar 2020,Off-Road,Deviation,0
Mar 2020,Off-Road,Marginal Profit Mult Executed Sales,0
Mar 2020,Off-Road,Marginal Profits,0
Mar 2020,Off-Road,Sales,0
Mar 2020,Off-Road,Executed Sales,22359
Mar 2020,Off-Road,Inventories,0
Mar 2020,Off-Road,Allocations,0
Mar 2020,Off-Road,Statistical Base Forecast,0
Mar 2020,Off-Road,Sales Adjustment,0
Mar 2020,Off-Road,Product Management Adjustment,0
Mar 2020,Off-Road,Achievement%_Actual,0
Mar 2020,Off-Road,Achievement%_Forecast,0
Mar 2020,Off-Road,Production,0
Mar 2020,Off-Road,Marginal Profits.,0
Mar 2020,Off-Road,Max Trust 95%,0
Mar 2020,Off-Road,Min Trust 95%,0
Mar 2020,Off-Road,Ecart type WML,0
Apr 2020,Street,store_sales,0
Apr 2020,Street,store_command,0
Apr 2020,Street,store_stocks,0
Apr 2020,Street,Labor Costs,0
Apr 2020,Street,Actuals,0
Apr 2020,Street,Sellers_Forecast,0
Apr 2020,Street,Sales Forecast,0
Apr 2020,Street,Forecast Arma,0
Apr 2020,Street,Demand Forecast.,0
Apr 2020,Street,Target,0
Apr 2020,Street,Last Years Actuals,0
Apr 2020,Street,Unit Price,0
Apr 2020,Street,Unit Cost,0
Apr 2020,Street,Revenue,0
Apr 2020,Street,Cost of Sales,0
Apr 2020,Street,Gross Margin,0
Apr 2020,Street,Production Cost Mult,0
Apr 2020,Street,Deviation,0
Apr 2020,Street,Marginal Profit Mult Executed Sales,0
Apr 2020,Street,Marginal Profits,0
Apr 2020,Street,Sales,0
Apr 2020,Street,Executed Sales,0
Apr 2020,Street,Inventories,0
Apr 2020,Street,Allocations,0
Apr 2020,Street,Statistical Base Forecast,0
Apr 2020,Street,Sales Adjustment,0
Apr 2020,Street,Product Management Adjustment,0
Apr 2020,Street,Achievement%_Actual,0
Apr 2020,Street,Achievement%_Forecast,0
Apr 2020,Street,Production,0
Apr 2020,Street,Marginal Profits.,0
Apr 2020,Street,Max Trust 95%,0
Apr 2020,Street,Min Trust 95%,0
Apr 2020,Street,Ecart type WML,0
Apr 2020,Cruiser,store_sales,0
Apr 2020,Cruiser,store_command,0
Apr 2020,Cruiser,store_stocks,0
Apr 2020,Cruiser,Labor Costs,0
Apr 2020,Cruiser,Actuals,0
Apr 2020,Cruiser,Sellers_Forecast,0
Apr 2020,Cruiser,Sales Forecast,0
Apr 2020,Cruiser,Forecast Arma,0
Apr 2020,Cruiser,Demand Forecast.,0
Apr 2020,Cruiser,Target,0
Apr 2020,Cruiser,Last Years Actuals,0
Apr 2020,Cruiser,Unit Price,0
Apr 2020,Cruiser,Unit Cost,0
Apr 2020,Cruiser,Revenue,0
Apr 2020,Cruiser,Cost of Sales,0
Apr 2020,Cruiser,Gross Margin,0
Apr 2020,Cruiser,Production Cost Mult,0
Apr 2020,Cruiser,Deviation,0
Apr 2020,Cruiser,Marginal Profit Mult Executed Sales,0
Apr 2020,Cruiser,Marginal Profits,0
Apr 2020,Cruiser,Sales,0
Apr 2020,Cruiser,Executed Sales,0
Apr 2020,Cruiser,Inventories,0
Apr 2020,Cruiser,Allocations,0
Apr 2020,Cruiser,Statistical Base Forecast,0
Apr 2020,Cruiser,Sales Adjustment,0
Apr 2020,Cruiser,Product Management Adjustment,0
Apr 2020,Cruiser,Achievement%_Actual,0
Apr 2020,Cruiser,Achievement%_Forecast,0
Apr 2020,Cruiser,Production,0
Apr 2020,Cruiser,Marginal Profits.,0
Apr 2020,Cruiser,Max Trust 95%,0
Apr 2020,Cruiser,Min Trust 95%,0
Apr 2020,Cruiser,Ecart type WML,0
Apr 2020,Touring,store_sales,0
Apr 2020,Touring,store_command,0
Apr 2020,Touring,store_stocks,0
Apr 2020,Touring,Labor Costs,0
Apr 2020,Touring,Actuals,0
Apr 2020,Touring,Sellers_Forecast,0
Apr 2020,Touring,Sales Forecast,0
Apr 2020,Touring,Forecast Arma,0
Apr 2020,Touring,Demand Forecast.,0
Apr 2020,Touring,Target,0
Apr 2020,Touring,Last Years Actuals,0
Apr 2020,Touring,Unit Price,0
Apr 2020,Touring,Unit Cost,0
Apr 2020,Touring,Revenue,0
Apr 2020,Touring,Cost of Sales,0
Apr 2020,Touring,Gross Margin,0
Apr 2020,Touring,Production Cost Mult,0
Apr 2020,Touring,Deviation,0
Apr 2020,Touring,Marginal Profit Mult Executed Sales,0
Apr 2020,Touring,Marginal Profits,0
Apr 2020,Touring,Sales,0
Apr 2020,Touring,Executed Sales,0
Apr 2020,Touring,Inventories,0
Apr 2020,Touring,Allocations,0
Apr 2020,Touring,Statistical Base Forecast,0
Apr 2020,Touring,Sales Adjustment,0
Apr 2020,Touring,Product Management Adjustment,0
Apr 2020,Touring,Achievement%_Actual,0
Apr 2020,Touring,Achievement%_Forecast,0
Apr 2020,Touring,Production,0
Apr 2020,Touring,Marginal Profits.,0
Apr 2020,Touring,Max Trust 95%,0
Apr 2020,Touring,Min Trust 95%,0
Apr 2020,Touring,Ecart type WML,0
Apr 2020,Off-Road,store_sales,0
Apr 2020,Off-Road,store_command,0
Apr 2020,Off-Road,store_stocks,0
Apr 2020,Off-Road,Labor Costs,0
Apr 2020,Off-Road,Actuals,0
Apr 2020,Off-Road,Sellers_Forecast,0
Apr 2020,Off-Road,Sales Forecast,0
Apr 2020,Off-Road,Forecast Arma,0
Apr 2020,Off-Road,Demand Forecast.,0
Apr 2020,Off-Road,Target,22000
Apr 2020,Off-Road,Last Years Actuals,0
Apr 2020,Off-Road,Unit Price,0
Apr 2020,Off-Road,Unit Cost,0
Apr 2020,Off-Road,Revenue,0
Apr 2020,Off-Road,Cost of Sales,0
Apr 2020,Off-Road,Gross Margin,0
Apr 2020,Off-Road,Production Cost Mult,0
Apr 2020,Off-Road,Deviation,0
Apr 2020,Off-Road,Marginal Profit Mult Executed Sales,0
Apr 2020,Off-Road,Marginal Profits,0
Apr 2020,Off-Road,Sales,0
Apr 2020,Off-Road,Executed Sales,23078
Apr 2020,Off-Road,Inventories,0
Apr 2020,Off-Road,Allocations,0
Apr 2020,Off-Road,Statistical Base Forecast,0
Apr 2020,Off-Road,Sales Adjustment,0
Apr 2020,Off-Road,Product Management Adjustment,0
Apr 2020,Off-Road,Achievement%_Actual,0
Apr 2020,Off-Road,Achievement%_Forecast,0
Apr 2020,Off-Road,Production,0
Apr 2020,Off-Road,Marginal Profits.,0
Apr 2020,Off-Road,Max Trust 95%,0
Apr 2020,Off-Road,Min Trust 95%,0
Apr 2020,Off-Road,Ecart type WML,0
May 2020,Street,store_sales,0
May 2020,Street,store_command,0
May 2020,Street,store_stocks,0
May 2020,Street,Labor Costs,0
May 2020,Street,Actuals,0
May 2020,Street,Sellers_Forecast,0
May 2020,Street,Sales Forecast,0
May 2020,Street,Forecast Arma,0
May 2020,Street,Demand Forecast.,0
May 2020,Street,Target,0
May 2020,Street,Last Years Actuals,0
May 2020,Street,Unit Price,0
May 2020,Street,Unit Cost,0
May 2020,Street,Revenue,0
May 2020,Street,Cost of Sales,0
May 2020,Street,Gross Margin,0
May 2020,Street,Production Cost Mult,0
May 2020,Street,Deviation,0
May 2020,Street,Marginal Profit Mult Executed Sales,0
May 2020,Street,Marginal Profits,0
May 2020,Street,Sales,0
May 2020,Street,Executed Sales,0
May 2020,Street,Inventories,0
May 2020,Street,Allocations,0
May 2020,Street,Statistical Base Forecast,0
May 2020,Street,Sales Adjustment,0
May 2020,Street,Product Management Adjustment,0
May 2020,Street,Achievement%_Actual,0
May 2020,Street,Achievement%_Forecast,0
May 2020,Street,Production,0
May 2020,Street,Marginal Profits.,0
May 2020,Street,Max Trust 95%,0
May 2020,Street,Min Trust 95%,0
May 2020,Street,Ecart type WML,0
May 2020,Cruiser,store_sales,0
May 2020,Cruiser,store_command,0
May 2020,Cruiser,store_stocks,0
May 2020,Cruiser,Labor Costs,0
May 2020,Cruiser,Actuals,0
May 2020,Cruiser,Sellers_Forecast,0
May 2020,Cruiser,Sales Forecast,0
May 2020,Cruiser,Forecast Arma,0
May 2020,Cruiser,Demand Forecast.,0
May 2020,Cruiser,Target,0
May 2020,Cruiser,Last Years Actuals,0
May 2020,Cruiser,Unit Price,0
May 2020,Cruiser,Unit Cost,0
May 2020,Cruiser,Revenue,0
May 2020,Cruiser,Cost of Sales,0
May 2020,Cruiser,Gross Margin,0
May 2020,Cruiser,Production Cost Mult,0
May 2020,Cruiser,Deviation,0
May 2020,Cruiser,Marginal Profit Mult Executed Sales,0
May 2020,Cruiser,Marginal Profits,0
May 2020,Cruiser,Sales,0
May 2020,Cruiser,Executed Sales,0
May 2020,Cruiser,Inventories,0
May 2020,Cruiser,Allocations,0
May 2020,Cruiser,Statistical Base Forecast,0
May 2020,Cruiser,Sales Adjustment,0
May 2020,Cruiser,Product Management Adjustment,0
May 2020,Cruiser,Achievement%_Actual,0
May 2020,Cruiser,Achievement%_Forecast,0
May 2020,Cruiser,Production,0
May 2020,Cruiser,Marginal Profits.,0
May 2020,Cruiser,Max Trust 95%,0
May 2020,Cruiser,Min Trust 95%,0
May 2020,Cruiser,Ecart type WML,0
May 2020,Touring,store_sales,0
May 2020,Touring,store_command,0
May 2020,Touring,store_stocks,0
May 2020,Touring,Labor Costs,0
May 2020,Touring,Actuals,0
May 2020,Touring,Sellers_Forecast,0
May 2020,Touring,Sales Forecast,0
May 2020,Touring,Forecast Arma,0
May 2020,Touring,Demand Forecast.,0
May 2020,Touring,Target,0
May 2020,Touring,Last Years Actuals,0
May 2020,Touring,Unit Price,0
May 2020,Touring,Unit Cost,0
May 2020,Touring,Revenue,0
May 2020,Touring,Cost of Sales,0
May 2020,Touring,Gross Margin,0
May 2020,Touring,Production Cost Mult,0
May 2020,Touring,Deviation,0
May 2020,Touring,Marginal Profit Mult Executed Sales,0
May 2020,Touring,Marginal Profits,0
May 2020,Touring,Sales,0
May 2020,Touring,Executed Sales,0
May 2020,Touring,Inventories,0
May 2020,Touring,Allocations,0
May 2020,Touring,Statistical Base Forecast,0
May 2020,Touring,Sales Adjustment,0
May 2020,Touring,Product Management Adjustment,0
May 2020,Touring,Achievement%_Actual,0
May 2020,Touring,Achievement%_Forecast,0
May 2020,Touring,Production,0
May 2020,Touring,Marginal Profits.,0
May 2020,Touring,Max Trust 95%,0
May 2020,Touring,Min Trust 95%,0
May 2020,Touring,Ecart type WML,0
May 2020,Off-Road,store_sales,0
May 2020,Off-Road,store_command,0
May 2020,Off-Road,store_stocks,0
May 2020,Off-Road,Labor Costs,0
May 2020,Off-Road,Actuals,0
May 2020,Off-Road,Sellers_Forecast,0
May 2020,Off-Road,Sales Forecast,0
May 2020,Off-Road,Forecast Arma,0
May 2020,Off-Road,Demand Forecast.,0
May 2020,Off-Road,Target,22500
May 2020,Off-Road,Last Years Actuals,0
May 2020,Off-Road,Unit Price,0
May 2020,Off-Road,Unit Cost,0
May 2020,Off-Road,Revenue,0
May 2020,Off-Road,Cost of Sales,0
May 2020,Off-Road,Gross Margin,0
May 2020,Off-Road,Production Cost Mult,0
May 2020,Off-Road,Deviation,0
May 2020,Off-Road,Marginal Profit Mult Executed Sales,0
May 2020,Off-Road,Marginal Profits,0
May 2020,Off-Road,Sales,0
May 2020,Off-Road,Executed Sales,23325
May 2020,Off-Road,Inventories,0
