Products,Markets,Period,value
200S,Total Market#,Oct 2020,0
200S,Total Market#,Nov 2020,0
200S,Total Market#,Dec 2020,0
300S,US,Jan 2020,811
300S,US,Feb 2020,847
300S,US,Mar 2020,839
300S,US,Apr 2020,825
300S,US,May 2020,814
300S,US,Jun 2020,839
300S,US,Jul 2020,807
300S,US,Aug 2020,825
300S,US,Sep 2020,814
300S,US,Oct 2020,825
300S,US,Nov 2020,806
300S,US,Dec 2020,808
300S,Canada,Jan 2020,848
300S,Canada,Feb 2020,808
300S,Canada,Mar 2020,828
300S,Canada,Apr 2020,830
300S,Canada,May 2020,824
300S,Canada,Jun 2020,845
300S,Canada,Jul 2020,814
300S,Canada,Aug 2020,825
300S,Canada,Sep 2020,837
300S,Canada,Oct 2020,852
300S,Canada,Nov 2020,852
300S,Canada,Dec 2020,852
300S,Brazil,Jan 2020,840
300S,Brazil,Feb 2020,823
300S,Brazil,Mar 2020,811
300S,Brazil,Apr 2020,835
300S,Brazil,May 2020,853
300S,Brazil,Jun 2020,826
300S,Brazil,Jul 2020,853
300S,Brazil,Aug 2020,829
300S,Brazil,Sep 2020,853
300S,Brazil,Oct 2020,852
300S,Brazil,Nov 2020,846
300S,Brazil,Dec 2020,806
300S,Argentina,Jan 2020,818
300S,Argentina,Feb 2020,837
300S,Argentina,Mar 2020,852
300S,Argentina,Apr 2020,806
300S,Argentina,May 2020,819
300S,Argentina,Jun 2020,813
300S,Argentina,Jul 2020,844
300S,Argentina,Aug 2020,837
300S,Argentina,Sep 2020,821
300S,Argentina,Oct 2020,817
300S,Argentina,Nov 2020,831
300S,Argentina,Dec 2020,824
300S,UK,Jan 2020,824
300S,UK,Feb 2020,821
300S,UK,Mar 2020,825
300S,UK,Apr 2020,853
300S,UK,May 2020,809
300S,UK,Jun 2020,833
300S,UK,Jul 2020,839
300S,UK,Aug 2020,826
300S,UK,Sep 2020,837
300S,UK,Oct 2020,854
300S,UK,Nov 2020,844
300S,UK,Dec 2020,825
300S,France,Jan 2020,842
300S,France,Feb 2020,843
300S,France,Mar 2020,855
300S,France,Apr 2020,846
300S,France,May 2020,832
300S,France,Jun 2020,843
300S,France,Jul 2020,838
300S,France,Aug 2020,853
300S,France,Sep 2020,815
300S,France,Oct 2020,818
300S,France,Nov 2020,829
300S,France,Dec 2020,821
300S,Germany,Jan 2020,819
300S,Germany,Feb 2020,833
300S,Germany,Mar 2020,813
300S,Germany,Apr 2020,808
300S,Germany,May 2020,825
300S,Germany,Jun 2020,851
300S,Germany,Jul 2020,809
300S,Germany,Aug 2020,814
300S,Germany,Sep 2020,846
300S,Germany,Oct 2020,836
300S,Germany,Nov 2020,824
300S,Germany,Dec 2020,827
300S,Spain,Jan 2020,807
300S,Spain,Feb 2020,823
300S,Spain,Mar 2020,844
300S,Spain,Apr 2020,813
300S,Spain,May 2020,837
300S,Spain,Jun 2020,833
300S,Spain,Jul 2020,835
300S,Spain,Aug 2020,812
300S,Spain,Sep 2020,835
300S,Spain,Oct 2020,846
300S,Spain,Nov 2020,826
300S,Spain,Dec 2020,809
300S,Italy,Jan 2020,809
300S,Italy,Feb 2020,850
300S,Italy,Mar 2020,837
300S,Italy,Apr 2020,839
300S,Italy,May 2020,847
300S,Italy,Jun 2020,833
300S,Italy,Jul 2020,844
300S,Italy,Aug 2020,850
300S,Italy,Sep 2020,811
300S,Italy,Oct 2020,843
300S,Italy,Nov 2020,807
300S,Italy,Dec 2020,807
300S,China,Jan 2020,830
300S,China,Feb 2020,811
300S,China,Mar 2020,842
300S,China,Apr 2020,822
300S,China,May 2020,820
300S,China,Jun 2020,833
300S,China,Jul 2020,825
300S,China,Aug 2020,824
300S,China,Sep 2020,854
300S,China,Oct 2020,820
300S,China,Nov 2020,845
300S,China,Dec 2020,844
300S,Japan,Jan 2020,832
300S,Japan,Feb 2020,823
300S,Japan,Mar 2020,848
300S,Japan,Apr 2020,820
300S,Japan,May 2020,838
300S,Japan,Jun 2020,834
300S,Japan,Jul 2020,809
300S,Japan,Aug 2020,826
300S,Japan,Sep 2020,823
300S,Japan,Oct 2020,849
300S,Japan,Nov 2020,831
300S,Japan,Dec 2020,852
300S,Americas#,Jan 2020,0
300S,Americas#,Feb 2020,0
300S,Americas#,Mar 2020,0
300S,Americas#,Apr 2020,0
300S,Americas#,May 2020,0
300S,Americas#,Jun 2020,0
300S,Americas#,Jul 2020,0
300S,Americas#,Aug 2020,0
300S,Americas#,Sep 2020,0
300S,Americas#,Oct 2020,0
300S,Americas#,Nov 2020,0
300S,Americas#,Dec 2020,0
300S,EMEA#,Jan 2020,0
300S,EMEA#,Feb 2020,0
300S,EMEA#,Mar 2020,0
300S,EMEA#,Apr 2020,0
300S,EMEA#,May 2020,0
300S,EMEA#,Jun 2020,0
300S,EMEA#,Jul 2020,0
300S,EMEA#,Aug 2020,0
300S,EMEA#,Sep 2020,0
300S,EMEA#,Oct 2020,0
300S,EMEA#,Nov 2020,0
300S,EMEA#,Dec 2020,0
300S,APAC#,Jan 2020,0
300S,APAC#,Feb 2020,0
300S,APAC#,Mar 2020,0
300S,APAC#,Apr 2020,0
300S,APAC#,May 2020,0
300S,APAC#,Jun 2020,0
300S,APAC#,Jul 2020,0
300S,APAC#,Aug 2020,0
300S,APAC#,Sep 2020,0
300S,APAC#,Oct 2020,0
300S,APAC#,Nov 2020,0
300S,APAC#,Dec 2020,0
300S,Total Market#,Jan 2020,0
300S,Total Market#,Feb 2020,0
300S,Total Market#,Mar 2020,0
300S,Total Market#,Apr 2020,0
300S,Total Market#,May 2020,0
300S,Total Market#,Jun 2020,0
300S,Total Market#,Jul 2020,0
300S,Total Market#,Aug 2020,0
300S,Total Market#,Sep 2020,0
300S,Total Market#,Oct 2020,0
300S,Total Market#,Nov 2020,0
300S,Total Market#,Dec 2020,0
600S,US,Jan 2020,750
600S,US,Feb 2020,727
600S,US,Mar 2020,753
600S,US,Apr 2020,716
600S,US,May 2020,732
600S,US,Jun 2020,721
600S,US,Jul 2020,745
600S,US,Aug 2020,722
600S,US,Sep 2020,735
600S,US,Oct 2020,736
600S,US,Nov 2020,746
600S,US,Dec 2020,718
600S,Canada,Jan 2020,732
600S,Canada,Feb 2020,729
600S,Canada,Mar 2020,743
600S,Canada,Apr 2020,715
600S,Canada,May 2020,718
600S,Canada,Jun 2020,720
600S,Canada,Jul 2020,755
600S,Canada,Aug 2020,737
600S,Canada,Sep 2020,728
600S,Canada,Oct 2020,713
600S,Canada,Nov 2020,760
600S,Canada,Dec 2020,757
600S,Brazil,Jan 2020,728
600S,Brazil,Feb 2020,745
600S,Brazil,Mar 2020,738
600S,Brazil,Apr 2020,721
600S,Brazil,May 2020,713
600S,Brazil,Jun 2020,714
600S,Brazil,Jul 2020,723
600S,Brazil,Aug 2020,720
600S,Brazil,Sep 2020,718
600S,Brazil,Oct 2020,730
600S,Brazil,Nov 2020,750
600S,Brazil,Dec 2020,758
600S,Argentina,Jan 2020,729
600S,Argentina,Feb 2020,725
600S,Argentina,Mar 2020,755
600S,Argentina,Apr 2020,715
600S,Argentina,May 2020,753
600S,Argentina,Jun 2020,756
600S,Argentina,Jul 2020,745
600S,Argentina,Aug 2020,731
600S,Argentina,Sep 2020,715
600S,Argentina,Oct 2020,717
600S,Argentina,Nov 2020,733
600S,Argentina,Dec 2020,729
600S,UK,Jan 2020,762
600S,UK,Feb 2020,739
600S,UK,Mar 2020,728
600S,UK,Apr 2020,756
600S,UK,May 2020,758
600S,UK,Jun 2020,755
600S,UK,Jul 2020,716
600S,UK,Aug 2020,748
600S,UK,Sep 2020,758
600S,UK,Oct 2020,759
600S,UK,Nov 2020,734
600S,UK,Dec 2020,753
600S,France,Jan 2020,718
600S,France,Feb 2020,742
600S,France,Mar 2020,752
600S,France,Apr 2020,729
600S,France,May 2020,746
600S,France,Jun 2020,742
600S,France,Jul 2020,746
600S,France,Aug 2020,744
600S,France,Sep 2020,713
600S,France,Oct 2020,720
600S,France,Nov 2020,721
600S,France,Dec 2020,740
600S,Germany,Jan 2020,749
600S,Germany,Feb 2020,742
600S,Germany,Mar 2020,714
600S,Germany,Apr 2020,758
600S,Germany,May 2020,733
600S,Germany,Jun 2020,721
600S,Germany,Jul 2020,716
600S,Germany,Aug 2020,735
600S,Germany,Sep 2020,716
600S,Germany,Oct 2020,739
600S,Germany,Nov 2020,741
600S,Germany,Dec 2020,734
600S,Spain,Jan 2020,755
600S,Spain,Feb 2020,744
600S,Spain,Mar 2020,762
600S,Spain,Apr 2020,749
600S,Spain,May 2020,717
600S,Spain,Jun 2020,762
600S,Spain,Jul 2020,740
600S,Spain,Aug 2020,761
600S,Spain,Sep 2020,757
600S,Spain,Oct 2020,732
600S,Spain,Nov 2020,761
600S,Spain,Dec 2020,731
600S,Italy,Jan 2020,723
600S,Italy,Feb 2020,761
600S,Italy,Mar 2020,756
600S,Italy,Apr 2020,713
600S,Italy,May 2020,749
600S,Italy,Jun 2020,722
600S,Italy,Jul 2020,749
600S,Italy,Aug 2020,718
600S,Italy,Sep 2020,735
600S,Italy,Oct 2020,745
600S,Italy,Nov 2020,729
600S,Italy,Dec 2020,724
600S,China,Jan 2020,746
600S,China,Feb 2020,719
600S,China,Mar 2020,734
600S,China,Apr 2020,716
600S,China,May 2020,717
600S,China,Jun 2020,720
600S,China,Jul 2020,734
600S,China,Aug 2020,739
600S,China,Sep 2020,726
600S,China,Oct 2020,750
600S,China,Nov 2020,728
600S,China,Dec 2020,715
600S,Japan,Jan 2020,720
600S,Japan,Feb 2020,736
600S,Japan,Mar 2020,729
600S,Japan,Apr 2020,761
600S,Japan,May 2020,725
600S,Japan,Jun 2020,729
600S,Japan,Jul 2020,757
600S,Japan,Aug 2020,756
600S,Japan,Sep 2020,753
600S,Japan,Oct 2020,742
600S,Japan,Nov 2020,762
600S,Japan,Dec 2020,714
600S,Americas#,Jan 2020,0
600S,Americas#,Feb 2020,0
600S,Americas#,Mar 2020,0
600S,Americas#,Apr 2020,0
600S,Americas#,May 2020,0
600S,Americas#,Jun 2020,0
600S,Americas#,Jul 2020,0
600S,Americas#,Aug 2020,0
600S,Americas#,Sep 2020,0
600S,Americas#,Oct 2020,0
600S,Americas#,Nov 2020,0
600S,Americas#,Dec 2020,0
600S,EMEA#,Jan 2020,0
600S,EMEA#,Feb 2020,0
600S,EMEA#,Mar 2020,0
600S,EMEA#,Apr 2020,0
600S,EMEA#,May 2020,0
600S,EMEA#,Jun 2020,0
600S,EMEA#,Jul 2020,0
600S,EMEA#,Aug 2020,0
600S,EMEA#,Sep 2020,0
600S,EMEA#,Oct 2020,0
600S,EMEA#,Nov 2020,0
600S,EMEA#,Dec 2020,0
600S,APAC#,Jan 2020,0
600S,APAC#,Feb 2020,0
600S,APAC#,Mar 2020,0
600S,APAC#,Apr 2020,0
600S,APAC#,May 2020,0
600S,APAC#,Jun 2020,0
600S,APAC#,Jul 2020,0
600S,APAC#,Aug 2020,0
600S,APAC#,Sep 2020,0
600S,APAC#,Oct 2020,0
600S,APAC#,Nov 2020,0
600S,APAC#,Dec 2020,0
600S,Total Market#,Jan 2020,0
600S,Total Market#,Feb 2020,0
600S,Total Market#,Mar 2020,0
600S,Total Market#,Apr 2020,0
600S,Total Market#,May 2020,0
600S,Total Market#,Jun 2020,0
600S,Total Market#,Jul 2020,0
600S,Total Market#,Aug 2020,0
600S,Total Market#,Sep 2020,0
600S,Total Market#,Oct 2020,0
600S,Total Market#,Nov 2020,0
600S,Total Market#,Dec 2020,0
626S,US,Jan 2020,798
626S,US,Feb 2020,793
626S,US,Mar 2020,750
626S,US,Apr 2020,781
626S,US,May 2020,786
626S,US,Jun 2020,778
626S,US,Jul 2020,761
626S,US,Aug 2020,780
626S,US,Sep 2020,788
626S,US,Oct 2020,772
626S,US,Nov 2020,773
626S,US,Dec 2020,793
626S,Canada,Jan 2020,763
626S,Canada,Feb 2020,774
626S,Canada,Mar 2020,763
626S,Canada,Apr 2020,768
626S,Canada,May 2020,760
626S,Canada,Jun 2020,762
626S,Canada,Jul 2020,784
626S,Canada,Aug 2020,758
626S,Canada,Sep 2020,777
626S,Canada,Oct 2020,767
626S,Canada,Nov 2020,775
626S,Canada,Dec 2020,795
626S,Brazil,Jan 2020,753
626S,Brazil,Feb 2020,782
626S,Brazil,Mar 2020,756
626S,Brazil,Apr 2020,773
626S,Brazil,May 2020,758
626S,Brazil,Jun 2020,775
626S,Brazil,Jul 2020,780
626S,Brazil,Aug 2020,760
626S,Brazil,Sep 2020,758
626S,Brazil,Oct 2020,778
626S,Brazil,Nov 2020,776
626S,Brazil,Dec 2020,750
626S,Argentina,Jan 2020,753
626S,Argentina,Feb 2020,770
626S,Argentina,Mar 2020,775
626S,Argentina,Apr 2020,780
626S,Argentina,May 2020,792
626S,Argentina,Jun 2020,774
626S,Argentina,Jul 2020,770
626S,Argentina,Aug 2020,770
626S,Argentina,Sep 2020,784
626S,Argentina,Oct 2020,791
626S,Argentina,Nov 2020,780
626S,Argentina,Dec 2020,761
626S,UK,Jan 2020,757
626S,UK,Feb 2020,757
626S,UK,Mar 2020,777
626S,UK,Apr 2020,767
626S,UK,May 2020,786
626S,UK,Jun 2020,751
626S,UK,Jul 2020,771
626S,UK,Aug 2020,768
626S,UK,Sep 2020,772
626S,UK,Oct 2020,749
626S,UK,Nov 2020,783
626S,UK,Dec 2020,754
626S,France,Jan 2020,750
626S,France,Feb 2020,787
626S,France,Mar 2020,765
626S,France,Apr 2020,762
626S,France,May 2020,798
626S,France,Jun 2020,785
626S,France,Jul 2020,785
626S,France,Aug 2020,775
626S,France,Sep 2020,752
626S,France,Oct 2020,789
626S,France,Nov 2020,772
626S,France,Dec 2020,769
626S,Germany,Jan 2020,793
626S,Germany,Feb 2020,774
626S,Germany,Mar 2020,773
626S,Germany,Apr 2020,771
626S,Germany,May 2020,785
626S,Germany,Jun 2020,763
626S,Germany,Jul 2020,770
626S,Germany,Aug 2020,772
626S,Germany,Sep 2020,791
626S,Germany,Oct 2020,786
626S,Germany,Nov 2020,790
626S,Germany,Dec 2020,798
626S,Spain,Jan 2020,765
626S,Spain,Feb 2020,771
626S,Spain,Mar 2020,795
626S,Spain,Apr 2020,756
626S,Spain,May 2020,758
626S,Spain,Jun 2020,776
626S,Spain,Jul 2020,764
626S,Spain,Aug 2020,771
626S,Spain,Sep 2020,753
626S,Spain,Oct 2020,781
626S,Spain,Nov 2020,760
626S,Spain,Dec 2020,766
626S,Italy,Jan 2020,767
626S,Italy,Feb 2020,762
626S,Italy,Mar 2020,793
626S,Italy,Apr 2020,788
626S,Italy,May 2020,792
626S,Italy,Jun 2020,786
626S,Italy,Jul 2020,768
626S,Italy,Aug 2020,752
626S,Italy,Sep 2020,794
626S,Italy,Oct 2020,772
626S,Italy,Nov 2020,760
626S,Italy,Dec 2020,754
626S,China,Jan 2020,794
626S,China,Feb 2020,776
626S,China,Mar 2020,786
626S,China,Apr 2020,767
626S,China,May 2020,792
626S,China,Jun 2020,797
626S,China,Jul 2020,784
626S,China,Aug 2020,750
626S,China,Sep 2020,765
626S,China,Oct 2020,793
626S,China,Nov 2020,762
626S,China,Dec 2020,780
626S,Japan,Jan 2020,788
626S,Japan,Feb 2020,753
626S,Japan,Mar 2020,750
626S,Japan,Apr 2020,788
626S,Japan,May 2020,765
626S,Japan,Jun 2020,782
626S,Japan,Jul 2020,775
626S,Japan,Aug 2020,790
626S,Japan,Sep 2020,772
626S,Japan,Oct 2020,751
626S,Japan,Nov 2020,755
626S,Japan,Dec 2020,776
626S,Americas#,Jan 2020,0
626S,Americas#,Feb 2020,0
626S,Americas#,Mar 2020,0
626S,Americas#,Apr 2020,0
626S,Americas#,May 2020,0
626S,Americas#,Jun 2020,0
626S,Americas#,Jul 2020,0
626S,Americas#,Aug 2020,0
626S,Americas#,Sep 2020,0
626S,Americas#,Oct 2020,0
626S,Americas#,Nov 2020,0
626S,Americas#,Dec 2020,0
626S,EMEA#,Jan 2020,0
626S,EMEA#,Feb 2020,0
626S,EMEA#,Mar 2020,0
626S,EMEA#,Apr 2020,0
626S,EMEA#,May 2020,0
626S,EMEA#,Jun 2020,0
626S,EMEA#,Jul 2020,0
626S,EMEA#,Aug 2020,0
626S,EMEA#,Sep 2020,0
626S,EMEA#,Oct 2020,0
626S,EMEA#,Nov 2020,0
626S,EMEA#,Dec 2020,0
626S,APAC#,Jan 2020,0
626S,APAC#,Feb 2020,0
626S,APAC#,Mar 2020,0
626S,APAC#,Apr 2020,0
626S,APAC#,May 2020,0
626S,APAC#,Jun 2020,0
626S,APAC#,Jul 2020,0
626S,APAC#,Aug 2020,0
626S,APAC#,Sep 2020,0
626S,APAC#,Oct 2020,0
626S,APAC#,Nov 2020,0
626S,APAC#,Dec 2020,0
626S,Total Market#,Jan 2020,0
626S,Total Market#,Feb 2020,0
626S,Total Market#,Mar 2020,0
626S,Total Market#,Apr 2020,0
626S,Total Market#,May 2020,0
626S,Total Market#,Jun 2020,0
626S,Total Market#,Jul 2020,0
626S,Total Market#,Aug 2020,0
626S,Total Market#,Sep 2020,0
626S,Total Market#,Oct 2020,0
626S,Total Market#,Nov 2020,0
626S,Total Market#,Dec 2020,0
676S,US,Jan 2020,990
676S,US,Feb 2020,1010
676S,US,Mar 2020,1009
676S,US,Apr 2020,994
676S,US,May 2020,1031
676S,US,Jun 2020,996
676S,US,Jul 2020,1036
676S,US,Aug 2020,989
676S,US,Sep 2020,1009
676S,US,Oct 2020,1018
676S,US,Nov 2020,1001
676S,US,Dec 2020,1010
676S,Canada,Jan 2020,1007
676S,Canada,Feb 2020,1007
676S,Canada,Mar 2020,1002
676S,Canada,Apr 2020,1003
676S,Canada,May 2020,1022
676S,Canada,Jun 2020,1038
676S,Canada,Jul 2020,1019
676S,Canada,Aug 2020,1022
676S,Canada,Sep 2020,1027
676S,Canada,Oct 2020,1035
676S,Canada,Nov 2020,1027
676S,Canada,Dec 2020,1001
676S,Brazil,Jan 2020,994
676S,Brazil,Feb 2020,1017
676S,Brazil,Mar 2020,997
676S,Brazil,Apr 2020,1023
676S,Brazil,May 2020,1038
676S,Brazil,Jun 2020,1021
676S,Brazil,Jul 2020,996
676S,Brazil,Aug 2020,1004
676S,Brazil,Sep 2020,1004
676S,Brazil,Oct 2020,1006
676S,Brazil,Nov 2020,1016
676S,Brazil,Dec 2020,1024
676S,Argentina,Jan 2020,992
676S,Argentina,Feb 2020,1024
676S,Argentina,Mar 2020,1016
676S,Argentina,Apr 2020,1014
676S,Argentina,May 2020,1030
676S,Argentina,Jun 2020,992
676S,Argentina,Jul 2020,1035
676S,Argentina,Aug 2020,1037
676S,Argentina,Sep 2020,1027
676S,Argentina,Oct 2020,1020
676S,Argentina,Nov 2020,1003
676S,Argentina,Dec 2020,1022
676S,UK,Jan 2020,991
676S,UK,Feb 2020,994
676S,UK,Mar 2020,1032
676S,UK,Apr 2020,1012
676S,UK,May 2020,1011
676S,UK,Jun 2020,1038
676S,UK,Jul 2020,1003
676S,UK,Aug 2020,997
676S,UK,Sep 2020,993
676S,UK,Oct 2020,1035
676S,UK,Nov 2020,989
676S,UK,Dec 2020,1024
676S,France,Jan 2020,991
676S,France,Feb 2020,1013
676S,France,Mar 2020,1023
676S,France,Apr 2020,1011
676S,France,May 2020,1016
676S,France,Jun 2020,995
676S,France,Jul 2020,1035
676S,France,Aug 2020,1002
676S,France,Sep 2020,1036
676S,France,Oct 2020,1016
676S,France,Nov 2020,999
676S,France,Dec 2020,1031
676S,Germany,Jan 2020,993
676S,Germany,Feb 2020,1029
676S,Germany,Mar 2020,1014
676S,Germany,Apr 2020,1025
676S,Germany,May 2020,1012
676S,Germany,Jun 2020,992
676S,Germany,Jul 2020,994
676S,Germany,Aug 2020,989
676S,Germany,Sep 2020,1009
676S,Germany,Oct 2020,1017
676S,Germany,Nov 2020,1021
676S,Germany,Dec 2020,993
676S,Spain,Jan 2020,1024
676S,Spain,Feb 2020,1007
676S,Spain,Mar 2020,1015
676S,Spain,Apr 2020,998
676S,Spain,May 2020,991
676S,Spain,Jun 2020,1022
676S,Spain,Jul 2020,1022
676S,Spain,Aug 2020,1009
676S,Spain,Sep 2020,1013
676S,Spain,Oct 2020,1012
676S,Spain,Nov 2020,990
676S,Spain,Dec 2020,989
676S,Italy,Jan 2020,991
676S,Italy,Feb 2020,1031
676S,Italy,Mar 2020,1029
676S,Italy,Apr 2020,996
676S,Italy,May 2020,1007
676S,Italy,Jun 2020,1005
676S,Italy,Jul 2020,999
676S,Italy,Aug 2020,999
676S,Italy,Sep 2020,1036
676S,Italy,Oct 2020,996
676S,Italy,Nov 2020,1032
676S,Italy,Dec 2020,1037
676S,China,Jan 2020,1026
676S,China,Feb 2020,1018
676S,China,Mar 2020,997
676S,China,Apr 2020,1038
676S,China,May 2020,1022
676S,China,Jun 2020,1029
676S,China,Jul 2020,1000
676S,China,Aug 2020,1003
676S,China,Sep 2020,1008
676S,China,Oct 2020,1015
676S,China,Nov 2020,1036
676S,China,Dec 2020,1013
676S,Japan,Jan 2020,1031
676S,Japan,Feb 2020,1034
676S,Japan,Mar 2020,1026
676S,Japan,Apr 2020,1009
676S,Japan,May 2020,1016
676S,Japan,Jun 2020,989
676S,Japan,Jul 2020,1006
676S,Japan,Aug 2020,1004
676S,Japan,Sep 2020,1017
676S,Japan,Oct 2020,1033
676S,Japan,Nov 2020,1028
676S,Japan,Dec 2020,1021
676S,Americas#,Jan 2020,0
676S,Americas#,Feb 2020,0
676S,Americas#,Mar 2020,0
676S,Americas#,Apr 2020,0
676S,Americas#,May 2020,0
676S,Americas#,Jun 2020,0
676S,Americas#,Jul 2020,0
676S,Americas#,Aug 2020,0
676S,Americas#,Sep 2020,0
676S,Americas#,Oct 2020,0
676S,Americas#,Nov 2020,0
676S,Americas#,Dec 2020,0
676S,EMEA#,Jan 2020,0
676S,EMEA#,Feb 2020,0
676S,EMEA#,Mar 2020,0
676S,EMEA#,Apr 2020,0
676S,EMEA#,May 2020,0
676S,EMEA#,Jun 2020,0
676S,EMEA#,Jul 2020,0
676S,EMEA#,Aug 2020,0
676S,EMEA#,Sep 2020,0
676S,EMEA#,Oct 2020,0
676S,EMEA#,Nov 2020,0
