Products,Markets,Period,value
200S,Spain,Feb 2020,7
200S,Spain,Mar 2020,1
200S,Spain,Apr 2020,0
200S,Spain,May 2020,0
200S,Spain,Jun 2020,0
200S,Spain,Jul 2020,0
200S,Spain,Aug 2020,0
200S,Spain,Sep 2020,0
200S,Spain,Oct 2020,0
200S,Spain,Nov 2020,0
200S,Spain,Dec 2020,0
200S,Italy,Jan 2020,13
200S,Italy,Feb 2020,3
200S,Italy,Mar 2020,1
200S,Italy,Apr 2020,0
200S,Italy,May 2020,0
200S,Italy,Jun 2020,0
200S,Italy,Jul 2020,0
200S,Italy,Aug 2020,0
200S,Italy,Sep 2020,0
200S,Italy,Oct 2020,0
200S,Italy,Nov 2020,0
200S,Italy,Dec 2020,0
200S,China,Jan 2020,35
200S,China,Feb 2020,8
200S,China,Mar 2020,2
200S,China,Apr 2020,0
200S,China,May 2020,0
200S,China,Jun 2020,0
200S,China,Jul 2020,0
200S,China,Aug 2020,0
200S,China,Sep 2020,0
200S,China,Oct 2020,0
200S,China,Nov 2020,0
200S,China,Dec 2020,0
200S,Japan,Jan 2020,26
200S,Japan,Feb 2020,6
200S,Japan,Mar 2020,1
200S,Japan,Apr 2020,0
200S,Japan,May 2020,0
200S,Japan,Jun 2020,0
200S,Japan,Jul 2020,0
200S,Japan,Aug 2020,0
200S,Japan,Sep 2020,0
200S,Japan,Oct 2020,0
200S,Japan,Nov 2020,0
200S,Japan,Dec 2020,0
200S,Americas#,Jan 2020,0
200S,Americas#,Feb 2020,0
200S,Americas#,Mar 2020,0
200S,Americas#,Apr 2020,0
200S,Americas#,May 2020,0
200S,Americas#,Jun 2020,0
200S,Americas#,Jul 2020,0
200S,Americas#,Aug 2020,0
200S,Americas#,Sep 2020,0
200S,Americas#,Oct 2020,0
200S,Americas#,Nov 2020,0
200S,Americas#,Dec 2020,0
200S,EMEA#,Jan 2020,0
200S,EMEA#,Feb 2020,0
200S,EMEA#,Mar 2020,0
200S,EMEA#,Apr 2020,0
200S,EMEA#,May 2020,0
200S,EMEA#,Jun 2020,0
200S,EMEA#,Jul 2020,0
200S,EMEA#,Aug 2020,0
200S,EMEA#,Sep 2020,0
200S,EMEA#,Oct 2020,0
200S,EMEA#,Nov 2020,0
200S,EMEA#,Dec 2020,0
200S,APAC#,Jan 2020,0
200S,APAC#,Feb 2020,0
200S,APAC#,Mar 2020,0
200S,APAC#,Apr 2020,0
200S,APAC#,May 2020,0
200S,APAC#,Jun 2020,0
200S,APAC#,Jul 2020,0
200S,APAC#,Aug 2020,0
200S,APAC#,Sep 2020,0
200S,APAC#,Oct 2020,0
200S,APAC#,Nov 2020,0
200S,APAC#,Dec 2020,0
200S,Total Market#,Jan 2020,0
200S,Total Market#,Feb 2020,0
200S,Total Market#,Mar 2020,0
200S,Total Market#,Apr 2020,0
200S,Total Market#,May 2020,0
200S,Total Market#,Jun 2020,0
200S,Total Market#,Jul 2020,0
200S,Total Market#,Aug 2020,0
200S,Total Market#,Sep 2020,0
200S,Total Market#,Oct 2020,0
200S,Total Market#,Nov 2020,0
200S,Total Market#,Dec 2020,0
300S,US,Jan 2020,11
300S,US,Feb 2020,3
300S,US,Mar 2020,0
300S,US,Apr 2020,0
300S,US,May 2020,0
300S,US,Jun 2020,0
300S,US,Jul 2020,0
300S,US,Aug 2020,0
300S,US,Sep 2020,0
300S,US,Oct 2020,0
300S,US,Nov 2020,0
300S,US,Dec 2020,0
300S,Canada,Jan 2020,8
300S,Canada,Feb 2020,2
300S,Canada,Mar 2020,0
300S,Canada,Apr 2020,0
300S,Canada,May 2020,0
300S,Canada,Jun 2020,0
300S,Canada,Jul 2020,0
300S,Canada,Aug 2020,0
300S,Canada,Sep 2020,0
300S,Canada,Oct 2020,0
300S,Canada,Nov 2020,0
300S,Canada,Dec 2020,0
300S,Brazil,Jan 2020,25
300S,Brazil,Feb 2020,6
300S,Brazil,Mar 2020,1
300S,Brazil,Apr 2020,0
300S,Brazil,May 2020,0
300S,Brazil,Jun 2020,0
300S,Brazil,Jul 2020,0
300S,Brazil,Aug 2020,0
300S,Brazil,Sep 2020,0
300S,Brazil,Oct 2020,0
300S,Brazil,Nov 2020,0
300S,Brazil,Dec 2020,0
300S,Argentina,Jan 2020,18
300S,Argentina,Feb 2020,4
300S,Argentina,Mar 2020,1
300S,Argentina,Apr 2020,0
300S,Argentina,May 2020,0
300S,Argentina,Jun 2020,0
300S,Argentina,Jul 2020,0
300S,Argentina,Aug 2020,0
300S,Argentina,Sep 2020,0
300S,Argentina,Oct 2020,0
300S,Argentina,Nov 2020,0
300S,Argentina,Dec 2020,0
300S,UK,Jan 2020,11
300S,UK,Feb 2020,3
300S,UK,Mar 2020,1
300S,UK,Apr 2020,0
300S,UK,May 2020,0
300S,UK,Jun 2020,0
300S,UK,Jul 2020,0
300S,UK,Aug 2020,0
300S,UK,Sep 2020,0
300S,UK,Oct 2020,0
300S,UK,Nov 2020,0
300S,UK,Dec 2020,0
300S,France,Jan 2020,43
300S,France,Feb 2020,11
300S,France,Mar 2020,2
300S,France,Apr 2020,0
300S,France,May 2020,0
300S,France,Jun 2020,0
300S,France,Jul 2020,0
300S,France,Aug 2020,0
300S,France,Sep 2020,0
300S,France,Oct 2020,0
300S,France,Nov 2020,0
300S,France,Dec 2020,0
300S,Germany,Jan 2020,14
300S,Germany,Feb 2020,5
300S,Germany,Mar 2020,1
300S,Germany,Apr 2020,0
300S,Germany,May 2020,0
300S,Germany,Jun 2020,0
300S,Germany,Jul 2020,0
300S,Germany,Aug 2020,0
300S,Germany,Sep 2020,0
300S,Germany,Oct 2020,0
300S,Germany,Nov 2020,0
300S,Germany,Dec 2020,0
300S,Spain,Jan 2020,8
300S,Spain,Feb 2020,2
300S,Spain,Mar 2020,0
300S,Spain,Apr 2020,0
300S,Spain,May 2020,0
300S,Spain,Jun 2020,0
300S,Spain,Jul 2020,0
300S,Spain,Aug 2020,0
300S,Spain,Sep 2020,0
300S,Spain,Oct 2020,0
300S,Spain,Nov 2020,0
300S,Spain,Dec 2020,0
300S,Italy,Jan 2020,3
300S,Italy,Feb 2020,1
300S,Italy,Mar 2020,0
300S,Italy,Apr 2020,0
300S,Italy,May 2020,0
300S,Italy,Jun 2020,0
300S,Italy,Jul 2020,0
300S,Italy,Aug 2020,0
300S,Italy,Sep 2020,0
300S,Italy,Oct 2020,0
300S,Italy,Nov 2020,0
300S,Italy,Dec 2020,0
300S,China,Jan 2020,13
300S,China,Feb 2020,4
300S,China,Mar 2020,1
300S,China,Apr 2020,0
300S,China,May 2020,0
300S,China,Jun 2020,0
300S,China,Jul 2020,0
300S,China,Aug 2020,0
300S,China,Sep 2020,0
300S,China,Oct 2020,0
300S,China,Nov 2020,0
300S,China,Dec 2020,0
300S,Japan,Jan 2020,4
300S,Japan,Feb 2020,1
300S,Japan,Mar 2020,0
300S,Japan,Apr 2020,0
300S,Japan,May 2020,0
300S,Japan,Jun 2020,0
300S,Japan,Jul 2020,0
300S,Japan,Aug 2020,0
300S,Japan,Sep 2020,0
300S,Japan,Oct 2020,0
300S,Japan,Nov 2020,0
300S,Japan,Dec 2020,0
300S,Americas#,Jan 2020,0
300S,Americas#,Feb 2020,0
300S,Americas#,Mar 2020,0
300S,Americas#,Apr 2020,0
300S,Americas#,May 2020,0
300S,Americas#,Jun 2020,0
300S,Americas#,Jul 2020,0
300S,Americas#,Aug 2020,0
300S,Americas#,Sep 2020,0
300S,Americas#,Oct 2020,0
300S,Americas#,Nov 2020,0
300S,Americas#,Dec 2020,0
300S,EMEA#,Jan 2020,0
300S,EMEA#,Feb 2020,0
300S,EMEA#,Mar 2020,0
300S,EMEA#,Apr 2020,0
300S,EMEA#,May 2020,0
300S,EMEA#,Jun 2020,0
300S,EMEA#,Jul 2020,0
300S,EMEA#,Aug 2020,0
300S,EMEA#,Sep 2020,0
300S,EMEA#,Oct 2020,0
300S,EMEA#,Nov 2020,0
300S,EMEA#,Dec 2020,0
300S,APAC#,Jan 2020,0
300S,APAC#,Feb 2020,0
300S,APAC#,Mar 2020,0
300S,APAC#,Apr 2020,0
300S,APAC#,May 2020,0
300S,APAC#,Jun 2020,0
300S,APAC#,Jul 2020,0
300S,APAC#,Aug 2020,0
300S,APAC#,Sep 2020,0
300S,APAC#,Oct 2020,0
300S,APAC#,Nov 2020,0
300S,APAC#,Dec 2020,0
300S,Total Market#,Jan 2020,0
300S,Total Market#,Feb 2020,0
300S,Total Market#,Mar 2020,0
300S,Total Market#,Apr 2020,0
300S,Total Market#,May 2020,0
300S,Total Market#,Jun 2020,0
300S,Total Market#,Jul 2020,0
300S,Total Market#,Aug 2020,0
300S,Total Market#,Sep 2020,0
300S,Total Market#,Oct 2020,0
300S,Total Market#,Nov 2020,0
300S,Total Market#,Dec 2020,0
600S,US,Jan 2020,2
600S,US,Feb 2020,0
600S,US,Mar 2020,0
600S,US,Apr 2020,0
600S,US,May 2020,0
600S,US,Jun 2020,0
600S,US,Jul 2020,0
600S,US,Aug 2020,0
600S,US,Sep 2020,0
600S,US,Oct 2020,0
600S,US,Nov 2020,0
600S,US,Dec 2020,0
600S,Canada,Jan 2020,30
600S,Canada,Feb 2020,7
600S,Canada,Mar 2020,2
600S,Canada,Apr 2020,0
600S,Canada,May 2020,0
600S,Canada,Jun 2020,0
600S,Canada,Jul 2020,0
600S,Canada,Aug 2020,0
600S,Canada,Sep 2020,0
600S,Canada,Oct 2020,0
600S,Canada,Nov 2020,0
600S,Canada,Dec 2020,0
600S,Brazil,Jan 2020,29
600S,Brazil,Feb 2020,7
600S,Brazil,Mar 2020,1
600S,Brazil,Apr 2020,0
600S,Brazil,May 2020,0
600S,Brazil,Jun 2020,0
600S,Brazil,Jul 2020,0
600S,Brazil,Aug 2020,0
600S,Brazil,Sep 2020,0
600S,Brazil,Oct 2020,0
600S,Brazil,Nov 2020,0
600S,Brazil,Dec 2020,0
600S,Argentina,Jan 2020,30
600S,Argentina,Feb 2020,8
600S,Argentina,Mar 2020,2
600S,Argentina,Apr 2020,0
600S,Argentina,May 2020,0
600S,Argentina,Jun 2020,0
600S,Argentina,Jul 2020,0
600S,Argentina,Aug 2020,0
600S,Argentina,Sep 2020,0
600S,Argentina,Oct 2020,0
600S,Argentina,Nov 2020,0
600S,Argentina,Dec 2020,0
600S,UK,Jan 2020,10
600S,UK,Feb 2020,3
600S,UK,Mar 2020,1
600S,UK,Apr 2020,0
600S,UK,May 2020,0
600S,UK,Jun 2020,0
600S,UK,Jul 2020,0
600S,UK,Aug 2020,0
600S,UK,Sep 2020,0
600S,UK,Oct 2020,0
600S,UK,Nov 2020,0
600S,UK,Dec 2020,0
600S,France,Jan 2020,47
600S,France,Feb 2020,12
600S,France,Mar 2020,2
600S,France,Apr 2020,0
600S,France,May 2020,0
600S,France,Jun 2020,0
600S,France,Jul 2020,0
600S,France,Aug 2020,0
600S,France,Sep 2020,0
600S,France,Oct 2020,0
600S,France,Nov 2020,0
600S,France,Dec 2020,0
600S,Germany,Jan 2020,43
600S,Germany,Feb 2020,11
600S,Germany,Mar 2020,2
600S,Germany,Apr 2020,0
600S,Germany,May 2020,0
600S,Germany,Jun 2020,0
600S,Germany,Jul 2020,0
600S,Germany,Aug 2020,0
600S,Germany,Sep 2020,0
600S,Germany,Oct 2020,0
600S,Germany,Nov 2020,0
600S,Germany,Dec 2020,0
600S,Spain,Jan 2020,28
600S,Spain,Feb 2020,7
600S,Spain,Mar 2020,2
600S,Spain,Apr 2020,0
600S,Spain,May 2020,0
600S,Spain,Jun 2020,0
600S,Spain,Jul 2020,0
600S,Spain,Aug 2020,0
600S,Spain,Sep 2020,0
600S,Spain,Oct 2020,0
600S,Spain,Nov 2020,0
600S,Spain,Dec 2020,0
600S,Italy,Jan 2020,32
600S,Italy,Feb 2020,8
600S,Italy,Mar 2020,2
600S,Italy,Apr 2020,0
600S,Italy,May 2020,0
600S,Italy,Jun 2020,0
600S,Italy,Jul 2020,0
600S,Italy,Aug 2020,0
600S,Italy,Sep 2020,0
600S,Italy,Oct 2020,0
600S,Italy,Nov 2020,0
600S,Italy,Dec 2020,0
600S,China,Jan 2020,40
600S,China,Feb 2020,10
600S,China,Mar 2020,2
600S,China,Apr 2020,0
600S,China,May 2020,0
600S,China,Jun 2020,0
600S,China,Jul 2020,0
600S,China,Aug 2020,0
600S,China,Sep 2020,0
600S,China,Oct 2020,0
600S,China,Nov 2020,0
600S,China,Dec 2020,0
600S,Japan,Jan 2020,9
600S,Japan,Feb 2020,2
600S,Japan,Mar 2020,0
600S,Japan,Apr 2020,0
600S,Japan,May 2020,0
600S,Japan,Jun 2020,0
600S,Japan,Jul 2020,0
600S,Japan,Aug 2020,0
600S,Japan,Sep 2020,0
600S,Japan,Oct 2020,0
600S,Japan,Nov 2020,0
600S,Japan,Dec 2020,0
600S,Americas#,Jan 2020,0
600S,Americas#,Feb 2020,0
600S,Americas#,Mar 2020,0
600S,Americas#,Apr 2020,0
600S,Americas#,May 2020,0
600S,Americas#,Jun 2020,0
600S,Americas#,Jul 2020,0
600S,Americas#,Aug 2020,0
600S,Americas#,Sep 2020,0
600S,Americas#,Oct 2020,0
600S,Americas#,Nov 2020,0
600S,Americas#,Dec 2020,0
600S,EMEA#,Jan 2020,0
600S,EMEA#,Feb 2020,0
600S,EMEA#,Mar 2020,0
600S,EMEA#,Apr 2020,0
600S,EMEA#,May 2020,0
600S,EMEA#,Jun 2020,0
600S,EMEA#,Jul 2020,0
600S,EMEA#,Aug 2020,0
600S,EMEA#,Sep 2020,0
600S,EMEA#,Oct 2020,0
600S,EMEA#,Nov 2020,0
600S,EMEA#,Dec 2020,0
600S,APAC#,Jan 2020,0
600S,APAC#,Feb 2020,0
600S,APAC#,Mar 2020,0
600S,APAC#,Apr 2020,0
600S,APAC#,May 2020,0
600S,APAC#,Jun 2020,0
600S,APAC#,Jul 2020,0
600S,APAC#,Aug 2020,0
600S,APAC#,Sep 2020,0
600S,APAC#,Oct 2020,0
600S,APAC#,Nov 2020,0
600S,APAC#,Dec 2020,0
600S,Total Market#,Jan 2020,0
600S,Total Market#,Feb 2020,0
600S,Total Market#,Mar 2020,0
600S,Total Market#,Apr 2020,0
600S,Total Market#,May 2020,0
600S,Total Market#,Jun 2020,0
600S,Total Market#,Jul 2020,0
600S,Total Market#,Aug 2020,0
600S,Total Market#,Sep 2020,0
600S,Total Market#,Oct 2020,0
600S,Total Market#,Nov 2020,0
600S,Total Market#,Dec 2020,0
626S,US,Jan 2020,29
626S,US,Feb 2020,8
626S,US,Mar 2020,2
626S,US,Apr 2020,0
626S,US,May 2020,0
626S,US,Jun 2020,0
626S,US,Jul 2020,0
626S,US,Aug 2020,0
626S,US,Sep 2020,0
626S,US,Oct 2020,0
626S,US,Nov 2020,0
626S,US,Dec 2020,0
626S,Canada,Jan 2020,21
626S,Canada,Feb 2020,5
626S,Canada,Mar 2020,1
626S,Canada,Apr 2020,0
626S,Canada,May 2020,0
626S,Canada,Jun 2020,0
626S,Canada,Jul 2020,0
626S,Canada,Aug 2020,0
626S,Canada,Sep 2020,0
626S,Canada,Oct 2020,0
626S,Canada,Nov 2020,0
626S,Canada,Dec 2020,0
626S,Brazil,Jan 2020,10
626S,Brazil,Feb 2020,3
626S,Brazil,Mar 2020,0
626S,Brazil,Apr 2020,0
626S,Brazil,May 2020,0
626S,Brazil,Jun 2020,0
626S,Brazil,Jul 2020,0
626S,Brazil,Aug 2020,0
626S,Brazil,Sep 2020,0
626S,Brazil,Oct 2020,0
626S,Brazil,Nov 2020,0
626S,Brazil,Dec 2020,0
626S,Argentina,Jan 2020,44
626S,Argentina,Feb 2020,10
626S,Argentina,Mar 2020,2
626S,Argentina,Apr 2020,0
626S,Argentina,May 2020,0
626S,Argentina,Jun 2020,0
626S,Argentina,Jul 2020,0
626S,Argentina,Aug 2020,0
626S,Argentina,Sep 2020,0
626S,Argentina,Oct 2020,0
626S,Argentina,Nov 2020,0
626S,Argentina,Dec 2020,0
626S,UK,Jan 2020,12
626S,UK,Feb 2020,3
626S,UK,Mar 2020,1
626S,UK,Apr 2020,0
626S,UK,May 2020,0
626S,UK,Jun 2020,0
626S,UK,Jul 2020,0
626S,UK,Aug 2020,0
626S,UK,Sep 2020,0
626S,UK,Oct 2020,0
626S,UK,Nov 2020,0
626S,UK,Dec 2020,0
626S,France,Jan 2020,9
626S,France,Feb 2020,2
626S,France,Mar 2020,1
626S,France,Apr 2020,0
626S,France,May 2020,0
626S,France,Jun 2020,0
626S,France,Jul 2020,0
626S,France,Aug 2020,0
626S,France,Sep 2020,0
626S,France,Oct 2020,0
626S,France,Nov 2020,0
626S,France,Dec 2020,0
626S,Germany,Jan 2020,9
626S,Germany,Feb 2020,3
626S,Germany,Mar 2020,0
626S,Germany,Apr 2020,0
626S,Germany,May 2020,0
626S,Germany,Jun 2020,0
626S,Germany,Jul 2020,0
626S,Germany,Aug 2020,0
626S,Germany,Sep 2020,0
626S,Germany,Oct 2020,0
626S,Germany,Nov 2020,0
626S,Germany,Dec 2020,0
626S,Spain,Jan 2020,8
626S,Spain,Feb 2020,2
626S,Spain,Mar 2020,0
626S,Spain,Apr 2020,0
626S,Spain,May 2020,0
626S,Spain,Jun 2020,0
626S,Spain,Jul 2020,0
626S,Spain,Aug 2020,0
626S,Spain,Sep 2020,0
626S,Spain,Oct 2020,0
626S,Spain,Nov 2020,0
626S,Spain,Dec 2020,0
626S,Italy,Jan 2020,10
626S,Italy,Feb 2020,3
626S,Italy,Mar 2020,0
626S,Italy,Apr 2020,0
626S,Italy,May 2020,0
626S,Italy,Jun 2020,0
626S,Italy,Jul 2020,0
626S,Italy,Aug 2020,0
626S,Italy,Sep 2020,0
626S,Italy,Oct 2020,0
626S,Italy,Nov 2020,0
626S,Italy,Dec 2020,0
626S,China,Jan 2020,32
626S,China,Feb 2020,7
626S,China,Mar 2020,2
626S,China,Apr 2020,0
626S,China,May 2020,0
626S,China,Jun 2020,0
626S,China,Jul 2020,0
626S,China,Aug 2020,0
626S,China,Sep 2020,0
626S,China,Oct 2020,0
626S,China,Nov 2020,0
626S,China,Dec 2020,0
626S,Japan,Jan 2020,33
626S,Japan,Feb 2020,9
626S,Japan,Mar 2020,2
626S,Japan,Apr 2020,0
626S,Japan,May 2020,0
626S,Japan,Jun 2020,0
626S,Japan,Jul 2020,0
626S,Japan,Aug 2020,0
626S,Japan,Sep 2020,0
626S,Japan,Oct 2020,0
626S,Japan,Nov 2020,0
626S,Japan,Dec 2020,0
626S,Americas#,Jan 2020,0
626S,Americas#,Feb 2020,0
626S,Americas#,Mar 2020,0
626S,Americas#,Apr 2020,0
626S,Americas#,May 2020,0
626S,Americas#,Jun 2020,0
626S,Americas#,Jul 2020,0
626S,Americas#,Aug 2020,0
626S,Americas#,Sep 2020,0
626S,Americas#,Oct 2020,0
626S,Americas#,Nov 2020,0
626S,Americas#,Dec 2020,0
626S,EMEA#,Jan 2020,0
626S,EMEA#,Feb 2020,0
626S,EMEA#,Mar 2020,0
626S,EMEA#,Apr 2020,0
626S,EMEA#,May 2020,0
626S,EMEA#,Jun 2020,0
626S,EMEA#,Jul 2020,0
626S,EMEA#,Aug 2020,0
626S,EMEA#,Sep 2020,0
626S,EMEA#,Oct 2020,0
626S,EMEA#,Nov 2020,0
626S,EMEA#,Dec 2020,0
626S,APAC#,Jan 2020,0
626S,APAC#,Feb 2020,0
626S,APAC#,Mar 2020,0
626S,APAC#,Apr 2020,0
626S,APAC#,May 2020,0
626S,APAC#,Jun 2020,0
626S,APAC#,Jul 2020,0
626S,APAC#,Aug 2020,0
626S,APAC#,Sep 2020,0
626S,APAC#,Oct 2020,0
626S,APAC#,Nov 2020,0
626S,APAC#,Dec 2020,0
626S,Total Market#,Jan 2020,0
626S,Total Market#,Feb 2020,0
626S,Total Market#,Mar 2020,0
626S,Total Market#,Apr 2020,0
626S,Total Market#,May 2020,0
626S,Total Market#,Jun 2020,0
626S,Total Market#,Jul 2020,0
626S,Total Market#,Aug 2020,0
626S,Total Market#,Sep 2020,0
626S,Total Market#,Oct 2020,0
626S,Total Market#,Nov 2020,0
626S,Total Market#,Dec 2020,0
676S,US,Jan 2020,19
676S,US,Feb 2020,5
676S,US,Mar 2020,1
676S,US,Apr 2020,0
676S,US,May 2020,0
676S,US,Jun 2020,0
676S,US,Jul 2020,0
676S,US,Aug 2020,0
676S,US,Sep 2020,0
676S,US,Oct 2020,0
676S,US,Nov 2020,0
676S,US,Dec 2020,0
676S,Canada,Jan 2020,8
676S,Canada,Feb 2020,2
676S,Canada,Mar 2020,1
676S,Canada,Apr 2020,0
676S,Canada,May 2020,0
676S,Canada,Jun 2020,0
676S,Canada,Jul 2020,0
676S,Canada,Aug 2020,0
676S,Canada,Sep 2020,0
676S,Canada,Oct 2020,0
676S,Canada,Nov 2020,0
676S,Canada,Dec 2020,0
676S,Brazil,Jan 2020,4
676S,Brazil,Feb 2020,1
676S,Brazil,Mar 2020,0
676S,Brazil,Apr 2020,0
676S,Brazil,May 2020,0
676S,Brazil,Jun 2020,0
676S,Brazil,Jul 2020,0
676S,Brazil,Aug 2020,0
676S,Brazil,Sep 2020,0
676S,Brazil,Oct 2020,0
676S,Brazil,Nov 2020,0
676S,Brazil,Dec 2020,0
676S,Argentina,Jan 2020,36
676S,Argentina,Feb 2020,9
676S,Argentina,Mar 2020,2
676S,Argentina,Apr 2020,0
676S,Argentina,May 2020,0
676S,Argentina,Jun 2020,0
676S,Argentina,Jul 2020,0
676S,Argentina,Aug 2020,0
676S,Argentina,Sep 2020,0
676S,Argentina,Oct 2020,0
676S,Argentina,Nov 2020,0
676S,Argentina,Dec 2020,0
676S,UK,Jan 2020,11
676S,UK,Feb 2020,3
676S,UK,Mar 2020,1
676S,UK,Apr 2020,0
676S,UK,May 2020,0
676S,UK,Jun 2020,0
676S,UK,Jul 2020,0
676S,UK,Aug 2020,0
676S,UK,Sep 2020,0
676S,UK,Oct 2020,0
676S,UK,Nov 2020,0
676S,UK,Dec 2020,0
676S,France,Jan 2020,33
676S,France,Feb 2020,9
676S,France,Mar 2020,2
676S,France,Apr 2020,0
676S,France,May 2020,0
676S,France,Jun 2020,0
676S,France,Jul 2020,0
676S,France,Aug 2020,0
676S,France,Sep 2020,0
676S,France,Oct 2020,0
676S,France,Nov 2020,0
676S,France,Dec 2020,0
676S,Germany,Jan 2020,44
676S,Germany,Feb 2020,12
676S,Germany,Mar 2020,3
676S,Germany,Apr 2020,0
676S,Germany,May 2020,0
676S,Germany,Jun 2020,0
676S,Germany,Jul 2020,0
676S,Germany,Aug 2020,0
676S,Germany,Sep 2020,0
676S,Germany,Oct 2020,0
676S,Germany,Nov 2020,0
676S,Germany,Dec 2020,0
676S,Spain,Jan 2020,18
676S,Spain,Feb 2020,5
676S,Spain,Mar 2020,1
676S,Spain,Apr 2020,0
676S,Spain,May 2020,0
676S,Spain,Jun 2020,0
676S,Spain,Jul 2020,0
676S,Spain,Aug 2020,0
676S,Spain,Sep 2020,0
676S,Spain,Oct 2020,0
676S,Spain,Nov 2020,0
676S,Spain,Dec 2020,0
676S,Italy,Jan 2020,42
676S,Italy,Feb 2020,12
676S,Italy,Mar 2020,2
676S,Italy,Apr 2020,0
676S,Italy,May 2020,0
676S,Italy,Jun 2020,0
676S,Italy,Jul 2020,0
676S,Italy,Aug 2020,0
676S,Italy,Sep 2020,0
676S,Italy,Oct 2020,0
676S,Italy,Nov 2020,0
676S,Italy,Dec 2020,0
676S,China,Jan 2020,23
676S,China,Feb 2020,6
676S,China,Mar 2020,1
676S,China,Apr 2020,0
676S,China,May 2020,0
676S,China,Jun 2020,0
676S,China,Jul 2020,0
676S,China,Aug 2020,0
676S,China,Sep 2020,0
676S,China,Oct 2020,0
676S,China,Nov 2020,0
676S,China,Dec 2020,0
676S,Japan,Jan 2020,19
676S,Japan,Feb 2020,6
676S,Japan,Mar 2020,1
676S,Japan,Apr 2020,0
676S,Japan,May 2020,0
676S,Japan,Jun 2020,0
676S,Japan,Jul 2020,0
676S,Japan,Aug 2020,0
676S,Japan,Sep 2020,0
676S,Japan,Oct 2020,0
676S,Japan,Nov 2020,0
676S,Japan,Dec 2020,0
676S,Americas#,Jan 2020,0
676S,Americas#,Feb 2020,0
676S,Americas#,Mar 2020,0
676S,Americas#,Apr 2020,0
676S,Americas#,May 2020,0
676S,Americas#,Jun 2020,0
676S,Americas#,Jul 2020,0
676S,Americas#,Aug 2020,0
676S,Americas#,Sep 2020,0
676S,Americas#,Oct 2020,0
676S,Americas#,Nov 2020,0
676S,Americas#,Dec 2020,0
676S,EMEA#,Jan 2020,0
676S,EMEA#,Feb 2020,0
676S,EMEA#,Mar 2020,0
676S,EMEA#,Apr 2020,0
676S,EMEA#,May 2020,0
676S,EMEA#,Jun 2020,0
676S,EMEA#,Jul 2020,0
676S,EMEA#,Aug 2020,0
676S,EMEA#,Sep 2020,0
676S,EMEA#,Oct 2020,0
676S,EMEA#,Nov 2020,0
676S,EMEA#,Dec 2020,0
676S,APAC#,Jan 2020,0
676S,APAC#,Feb 2020,0
676S,APAC#,Mar 2020,0
676S,APAC#,Apr 2020,0
