plant,product,month,capacity,production,absdiff,reldiff
Houston,ST900,Feb-07,80,0,80,98.7654320988
Houston,ST900,Mar-07,80,0,80,98.7654320988
Houston,ST1200,Jan-07,182,94,88,48.087431694
Houston,ST1200,Feb-07,182,46,136,74.3169398907
Houston,ST1200,Mar-07,182,38,144,78.6885245902
Houston,ST1200R,Jan-07,72,0,72,98.6301369863
Houston,ST1200R,Feb-07,72,0,72,98.6301369863
Houston,ST1200R,Mar-07,72,0,72,98.6301369863
Houston,Bandit 900,Jan-07,146,0,146,99.3197278912
Houston,Bandit 900,Feb-07,146,3,143,97.2789115646
Houston,Bandit 900,Mar-07,146,0,146,99.3197278912
Houston,Bandit 1200,Jan-07,117,117,0,0.0
Houston,Bandit 1200,Feb-07,117,117,0,0.0
Houston,Bandit 1200,Mar-07,117,116,1,0.847457627119
Houston,Bandit 1200S,Jan-07,235,0,235,99.5762711864
Houston,Bandit 1200S,Feb-07,235,0,235,99.5762711864
Houston,Bandit 1200S,Mar-07,235,0,235,99.5762711864
Houston,Enduro 350,Jan-07,240,0,240,99.5850622407
Houston,Enduro 350,Feb-07,240,0,240,99.5850622407
Houston,Enduro 350,Mar-07,240,0,240,99.5850622407
Houston,Enduro 450,Jan-07,55,3,52,92.8571428571
Houston,Enduro 450,Feb-07,55,0,55,98.2142857143
Houston,Enduro 450,Mar-07,55,0,55,98.2142857143
Houston,Enduro 550,Jan-07,215,0,215,99.537037037
Houston,Enduro 550,Feb-07,215,0,215,99.537037037
Houston,Enduro 550,Mar-07,215,0,215,99.537037037
Houston,CRX500,Jan-07,83,0,83,98.8095238095
Houston,CRX500,Feb-07,83,0,83,98.8095238095
Houston,CRX500,Mar-07,83,0,83,98.8095238095
Houston,CRS550,Jan-07,96,96,0,0.0
Houston,CRS550,Feb-07,96,96,0,0.0
Houston,CRS550,Mar-07,96,95,1,1.03092783505
Houston,CRX600,Jan-07,81,0,81,98.7804878049
Houston,CRX600,Feb-07,81,1,80,97.5609756098
Houston,CRX600,Mar-07,81,0,81,98.7804878049
Houston,CRX650,Jan-07,138,105,33,23.7410071942
Houston,CRX650,Feb-07,138,93,45,32.3741007194
Houston,CRX650,Mar-07,138,55,83,59.7122302158
Dallas,200S,Jan-07,76,76,0,0.0
Dallas,200S,Feb-07,76,76,0,0.0
Dallas,200S,Mar-07,76,76,0,0.0
Dallas,300S,Jan-07,253,0,253,99.6062992126
Dallas,300S,Feb-07,253,0,253,99.6062992126
Dallas,300S,Mar-07,253,0,253,99.6062992126
Dallas,600S,Jan-07,122,0,122,99.1869918699
Dallas,600S,Feb-07,122,0,122,99.1869918699
Dallas,600S,Mar-07,122,0,122,99.1869918699
Dallas,626S,Jan-07,98,0,98,98.9898989899
Dallas,626S,Feb-07,98,0,98,98.9898989899
Dallas,626S,Mar-07,98,0,98,98.9898989899
Dallas,676S,Jan-07,244,244,0,0.0
Dallas,676S,Feb-07,244,244,0,0.0
Dallas,676S,Mar-07,244,244,0,0.0
Dallas,676RS,Jan-07,36,36,0,0.0
Dallas,676RS,Feb-07,36,36,0,0.0
Dallas,676RS,Mar-07,36,36,0,0.0
Dallas,900S,Jan-07,34,0,34,97.1428571429
Dallas,900S,Feb-07,34,0,34,97.1428571429
Dallas,900S,Mar-07,34,2,32,91.4285714286
Dallas,929S,Jan-07,181,0,181,99.4505494505
Dallas,929S,Feb-07,181,0,181,99.4505494505
Dallas,929S,Mar-07,181,0,181,99.4505494505
Dallas,996S,Jan-07,172,172,0,0.0
Dallas,996S,Feb-07,172,172,0,0.0
Dallas,996S,Mar-07,172,172,0,0.0
Dallas,996RS,Jan-07,149,0,149,99.3333333333
Dallas,996RS,Feb-07,149,0,149,99.3333333333
Dallas,996RS,Mar-07,149,0,149,99.3333333333
Dallas,RoadStar,Jan-07,262,262,0,0.0
Dallas,RoadStar,Feb-07,262,262,0,0.0
Dallas,RoadStar,Mar-07,262,262,0,0.0
Dallas,RoadLiner,Jan-07,105,105,0,0.0
Dallas,RoadLiner,Feb-07,105,59,46,43.3962264151
Dallas,RoadLiner,Mar-07,105,105,0,0.0
Dallas,Victory,Jan-07,155,0,155,99.358974359
Dallas,Victory,Feb-07,155,0,155,99.358974359
Dallas,Victory,Mar-07,155,0,155,99.358974359
Dallas,Boulevard,Jan-07,197,197,0,0.0
Dallas,Boulevard,Feb-07,197,197,0,0.0
Dallas,Boulevard,Mar-07,197,197,0,0.0
Dallas,KingTwin,Jan-07,41,41,0,0.0
Dallas,KingTwin,Feb-07,41,41,0,0.0
Dallas,KingTwin,Mar-07,41,41,0,0.0
Dallas,MegaTwin,Jan-07,178,0,178,99.4413407821
Dallas,MegaTwin,Feb-07,178,44,134,74.8603351955
Dallas,MegaTwin,Mar-07,178,1,177,98.8826815642
Dallas,ST900,Jan-07,31,0,31,96.875
Dallas,ST900,Feb-07,31,0,31,96.875
Dallas,ST900,Mar-07,31,0,31,96.875
Dallas,ST1200,Jan-07,82,19,63,75.9036144578
Dallas,ST1200,Feb-07,82,82,0,0.0
Dallas,ST1200,Mar-07,82,82,0,0.0
Dallas,ST1200R,Jan-07,186,45,141,75.4010695187
Dallas,ST1200R,Feb-07,186,46,140,74.8663101604
Dallas,ST1200R,Mar-07,186,0,186,99.4652406417
Dallas,Bandit 900,Jan-07,206,144,62,29.9516908213
Dallas,Bandit 900,Feb-07,206,125,81,39.1304347826
Dallas,Bandit 900,Mar-07,206,106,100,48.309178744
Dallas,Bandit 1200,Jan-07,117,117,0,0.0
Dallas,Bandit 1200,Feb-07,117,117,0,0.0
Dallas,Bandit 1200,Mar-07,117,116,1,0.847457627119
Dallas,Bandit 1200S,Jan-07,207,89,118,56.7307692308
Dallas,Bandit 1200S,Feb-07,207,46,161,77.4038461538
Dallas,Bandit 1200S,Mar-07,207,97,110,52.8846153846
Dallas,Enduro 350,Jan-07,43,0,43,97.7272727273
Dallas,Enduro 350,Feb-07,43,0,43,97.7272727273
Dallas,Enduro 350,Mar-07,43,0,43,97.7272727273
Dallas,Enduro 450,Jan-07,160,160,0,0.0
Dallas,Enduro 450,Feb-07,160,160,0,0.0
Dallas,Enduro 450,Mar-07,160,160,0,0.0
Dallas,Enduro 550,Jan-07,104,104,0,0.0
Dallas,Enduro 550,Feb-07,104,104,0,0.0
Dallas,Enduro 550,Mar-07,104,104,0,0.0
Dallas,CRX500,Jan-07,161,0,161,99.3827160494
Dallas,CRX500,Feb-07,161,0,161,99.3827160494
Dallas,CRX500,Mar-07,161,0,161,99.3827160494
Dallas,CRS550,Jan-07,86,86,0,0.0
Dallas,CRS550,Feb-07,86,86,0,0.0
Dallas,CRS550,Mar-07,86,86,0,0.0
Dallas,CRX600,Jan-07,125,5,120,95.2380952381
Dallas,CRX600,Feb-07,125,11,114,90.4761904762
Dallas,CRX600,Mar-07,125,0,125,99.2063492063
Dallas,CRX650,Jan-07,35,0,35,97.2222222222
Dallas,CRX650,Feb-07,35,0,35,97.2222222222
Dallas,CRX650,Mar-07,35,0,35,97.2222222222
Los Angeles,200S,Jan-07,89,89,0,0.0
Los Angeles,200S,Feb-07,89,89,0,0.0
Los Angeles,200S,Mar-07,89,89,0,0.0
Los Angeles,300S,Jan-07,61,61,0,0.0
Los Angeles,300S,Feb-07,61,61,0,0.0
Los Angeles,300S,Mar-07,61,61,0,0.0
Los Angeles,600S,Jan-07,115,0,115,99.1379310345
Los Angeles,600S,Feb-07,115,0,115,99.1379310345
Los Angeles,600S,Mar-07,115,0,115,99.1379310345
Los Angeles,626S,Jan-07,213,213,0,0.0
Los Angeles,626S,Feb-07,213,213,0,0.0
Los Angeles,626S,Mar-07,213,213,0,0.0
Los Angeles,676S,Jan-07,48,1,47,95.9183673469
Los Angeles,676S,Feb-07,48,0,48,97.9591836735
Los Angeles,676S,Mar-07,48,48,0,0.0
Los Angeles,676RS,Jan-07,0,0,0,0.0
Los Angeles,676RS,Feb-07,0,0,0,0.0
Los Angeles,676RS,Mar-07,0,0,0,0.0
Los Angeles,900S,Jan-07,156,156,0,0.0
Los Angeles,900S,Feb-07,156,131,25,15.923566879
Los Angeles,900S,Mar-07,156,156,0,0.0
Los Angeles,929S,Jan-07,111,111,0,0.0
Los Angeles,929S,Feb-07,111,111,0,0.0
Los Angeles,929S,Mar-07,111,111,0,0.0
Los Angeles,996S,Jan-07,204,204,0,0.0
Los Angeles,996S,Feb-07,204,204,0,0.0
Los Angeles,996S,Mar-07,204,204,0,0.0
Los Angeles,996RS,Jan-07,36,36,0,0.0
Los Angeles,996RS,Feb-07,36,36,0,0.0
Los Angeles,996RS,Mar-07,36,36,0,0.0
Los Angeles,RoadStar,Jan-07,143,10,133,92.3611111111
Los Angeles,RoadStar,Feb-07,143,0,143,99.3055555556
Los Angeles,RoadStar,Mar-07,143,0,143,99.3055555556
Los Angeles,RoadLiner,Jan-07,66,6,60,89.552238806
Los Angeles,RoadLiner,Feb-07,66,56,10,14.9253731343
Los Angeles,RoadLiner,Mar-07,66,1,65,97.0149253731
Los Angeles,Victory,Jan-07,252,0,252,99.604743083
Los Angeles,Victory,Feb-07,252,0,252,99.604743083
Los Angeles,Victory,Mar-07,252,0,252,99.604743083
Los Angeles,Boulevard,Jan-07,145,0,145,99.3150684932
Los Angeles,Boulevard,Feb-07,145,0,145,99.3150684932
Los Angeles,Boulevard,Mar-07,145,0,145,99.3150684932
Los Angeles,KingTwin,Jan-07,169,0,169,99.4117647059
Los Angeles,KingTwin,Feb-07,169,0,169,99.4117647059
Los Angeles,KingTwin,Mar-07,169,0,169,99.4117647059
Los Angeles,MegaTwin,Jan-07,261,0,261,99.6183206107
Los Angeles,MegaTwin,Feb-07,261,0,261,99.6183206107
Los Angeles,MegaTwin,Mar-07,261,0,261,99.6183206107
Los Angeles,ST900,Jan-07,160,64,96,59.6273291925
Los Angeles,ST900,Feb-07,160,25,135,83.850931677
Los Angeles,ST900,Mar-07,160,0,160,99.3788819876
Los Angeles,ST1200,Jan-07,56,56,0,0.0
Los Angeles,ST1200,Feb-07,56,56,0,0.0
Los Angeles,ST1200,Mar-07,56,56,0,0.0
Los Angeles,ST1200R,Jan-07,175,174,1,0.568181818182
Los Angeles,ST1200R,Feb-07,175,175,0,0.0
Los Angeles,ST1200R,Mar-07,175,175,0,0.0
Los Angeles,Bandit 900,Jan-07,111,0,111,99.1071428571
Los Angeles,Bandit 900,Feb-07,111,0,111,99.1071428571
Los Angeles,Bandit 900,Mar-07,111,0,111,99.1071428571
Los Angeles,Bandit 1200,Jan-07,272,17,255,93.4065934066
Los Angeles,Bandit 1200,Feb-07,272,31,241,88.2783882784
Los Angeles,Bandit 1200,Mar-07,272,0,272,99.6336996337
Los Angeles,Bandit 1200S,Jan-07,88,88,0,0.0
Los Angeles,Bandit 1200S,Feb-07,88,88,0,0.0
Los Angeles,Bandit 1200S,Mar-07,88,88,0,0.0
Los Angeles,Enduro 350,Jan-07,225,0,225,99.5575221239
Los Angeles,Enduro 350,Feb-07,225,0,225,99.5575221239
Los Angeles,Enduro 350,Mar-07,225,0,225,99.5575221239
Los Angeles,Enduro 450,Jan-07,168,2,166,98.224852071
Los Angeles,Enduro 450,Feb-07,168,0,168,99.4082840237
Los Angeles,Enduro 450,Mar-07,168,0,168,99.4082840237
Los Angeles,Enduro 550,Jan-07,37,37,0,0.0
Los Angeles,Enduro 550,Feb-07,37,37,0,0.0
Los Angeles,Enduro 550,Mar-07,37,37,0,0.0
Los Angeles,CRX500,Jan-07,122,0,122,99.1869918699
Los Angeles,CRX500,Feb-07,122,0,122,99.1869918699
Los Angeles,CRX500,Mar-07,122,0,122,99.1869918699
Los Angeles,CRS550,Jan-07,147,147,0,0.0
Los Angeles,CRS550,Feb-07,147,147,0,0.0
Los Angeles,CRS550,Mar-07,147,147,0,0.0
Los Angeles,CRX600,Jan-07,126,126,0,0.0
Los Angeles,CRX600,Feb-07,126,126,0,0.0
Los Angeles,CRX600,Mar-07,126,125,1,0.787401574803
Los Angeles,CRX650,Jan-07,274,274,0,0.0
Los Angeles,CRX650,Feb-07,274,274,0,0.0
Los Angeles,CRX650,Mar-07,274,274,0,0.0
Mexico,200S,Jan-07,53,53,0,0.0
Mexico,200S,Feb-07,53,30,23,42.5925925926
Mexico,200S,Mar-07,53,2,51,94.4444444444
Mexico,300S,Jan-07,259,0,259,99.6153846154
Mexico,300S,Feb-07,259,0,259,99.6153846154
Mexico,300S,Mar-07,259,0,259,99.6153846154
Mexico,600S,Jan-07,80,0,80,98.7654320988
Mexico,600S,Feb-07,80,0,80,98.7654320988
Mexico,600S,Mar-07,80,0,80,98.7654320988
Mexico,626S,Jan-07,345,267,78,22.5433526012
Mexico,626S,Feb-07,345,270,75,21.676300578
Mexico,626S,Mar-07,345,270,75,21.676300578
Mexico,676S,Jan-07,76,0,76,98.7012987013
Mexico,676S,Feb-07,76,0,76,98.7012987013
Mexico,676S,Mar-07,76,0,76,98.7012987013
Mexico,676RS,Jan-07,33,33,0,0.0
Mexico,676RS,Feb-07,33,33,0,0.0
Mexico,676RS,Mar-07,33,33,0,0.0
Mexico,900S,Jan-07,80,0,80,98.7654320988
Mexico,900S,Feb-07,80,0,80,98.7654320988
Mexico,900S,Mar-07,80,0,80,98.7654320988
Mexico,929S,Jan-07,30,20,10,32.2580645161
Mexico,929S,Feb-07,30,24,6,19.3548387097
Mexico,929S,Mar-07,30,19,11,35.4838709677
Mexico,996S,Jan-07,61,61,0,0.0
Mexico,996S,Feb-07,61,61,0,0.0
Mexico,996S,Mar-07,61,61,0,0.0
Mexico,996RS,Jan-07,258,258,0,0.0
Mexico,996RS,Feb-07,258,258,0,0.0
Mexico,996RS,Mar-07,258,258,0,0.0
Mexico,RoadStar,Jan-07,176,158,18,10.1694915254
Mexico,RoadStar,Feb-07,176,133,43,24.2937853107
Mexico,RoadStar,Mar-07,176,130,46,25.988700565
Mexico,RoadLiner,Jan-07,226,226,0,0.0
Mexico,RoadLiner,Feb-07,226,225,1,0.440528634361
Mexico,RoadLiner,Mar-07,226,226,0,0.0
Mexico,Victory,Jan-07,168,0,168,99.4082840237
Mexico,Victory,Feb-07,168,0,168,99.4082840237
Mexico,Victory,Mar-07,168,0,168,99.4082840237
Mexico,Boulevard,Jan-07,159,0,159,99.375
Mexico,Boulevard,Feb-07,159,0,159,99.375
Mexico,Boulevard,Mar-07,159,0,159,99.375
Mexico,KingTwin,Jan-07,270,0,270,99.63099631
Mexico,KingTwin,Feb-07,270,0,270,99.63099631
Mexico,KingTwin,Mar-07,270,0,270,99.63099631
Mexico,MegaTwin,Jan-07,82,0,82,98.7951807229
Mexico,MegaTwin,Feb-07,82,0,82,98.7951807229
Mexico,MegaTwin,Mar-07,82,0,82,98.7951807229
Mexico,ST900,Jan-07,77,0,77,98.7179487179
Mexico,ST900,Feb-07,77,0,77,98.7179487179
Mexico,ST900,Mar-07,77,0,77,98.7179487179
Mexico,ST1200,Jan-07,164,164,0,0.0
Mexico,ST1200,Feb-07,164,164,0,0.0
Mexico,ST1200,Mar-07,164,164,0,0.0
Mexico,ST1200R,Jan-07,152,0,152,99.3464052288
Mexico,ST1200R,Feb-07,152,0,152,99.3464052288
Mexico,ST1200R,Mar-07,152,127,25,16.339869281
Mexico,Bandit 900,Jan-07,140,0,140,99.2907801418
Mexico,Bandit 900,Feb-07,140,0,140,99.2907801418
Mexico,Bandit 900,Mar-07,140,0,140,99.2907801418
Mexico,Bandit 1200,Jan-07,271,0,271,99.6323529412
Mexico,Bandit 1200,Feb-07,271,0,271,99.6323529412
Mexico,Bandit 1200,Mar-07,271,0,271,99.6323529412
Mexico,Bandit 1200S,Jan-07,120,32,88,72.7272727273
Mexico,Bandit 1200S,Feb-07,120,91,29,23.9669421488
Mexico,Bandit 1200S,Mar-07,120,40,80,66.1157024793
Mexico,Enduro 350,Jan-07,48,0,48,97.9591836735
Mexico,Enduro 350,Feb-07,48,0,48,97.9591836735
Mexico,Enduro 350,Mar-07,48,0,48,97.9591836735
Mexico,Enduro 450,Jan-07,122,122,0,0.0
Mexico,Enduro 450,Feb-07,122,120,2,1.62601626016
Mexico,Enduro 450,Mar-07,122,91,31,25.2032520325
Mexico,Enduro 550,Jan-07,225,0,225,99.5575221239
Mexico,Enduro 550,Feb-07,225,0,225,99.5575221239
Mexico,Enduro 550,Mar-07,225,0,225,99.5575221239
Mexico,CRX500,Jan-07,186,0,186,99.4652406417
Mexico,CRX500,Feb-07,186,0,186,99.4652406417
Mexico,CRX500,Mar-07,186,0,186,99.4652406417
Mexico,CRS550,Jan-07,187,187,0,0.0
Mexico,CRS550,Feb-07,187,187,0,0.0
Mexico,CRS550,Mar-07,187,187,0,0.0
Mexico,CRX600,Jan-07,64,0,64,98.4615384615
Mexico,CRX600,Feb-07,64,0,64,98.4615384615
Mexico,CRX600,Mar-07,64,0,64,98.4615384615
Mexico,CRX650,Jan-07,111,111,0,0.0
Mexico,CRX650,Feb-07,111,111,0,0.0
Mexico,CRX650,Mar-07,111,111,0,0.0
Toledo,200S,Jan-07,42,42,0,0.0
Toledo,200S,Feb-07,42,0,42,97.6744186047
Toledo,200S,Mar-07,42,0,42,97.6744186047
Toledo,300S,Jan-07,121,107,14,11.4754098361
Toledo,300S,Feb-07,121,112,9,7.37704918033
Toledo,300S,Mar-07,121,101,20,16.393442623
Toledo,600S,Jan-07,242,242,0,0.0
Toledo,600S,Feb-07,242,241,1,0.411522633745
Toledo,600S,Mar-07,242,242,0,0.0
Toledo,626S,Jan-07,216,0,216,99.5391705069
Toledo,626S,Feb-07,216,0,216,99.5391705069
Toledo,626S,Mar-07,216,0,216,99.5391705069
Toledo,676S,Jan-07,103,0,103,99.0384615385
Toledo,676S,Feb-07,103,0,103,99.0384615385
Toledo,676S,Mar-07,103,0,103,99.0384615385
Toledo,676RS,Jan-07,263,38,225,85.2272727273
Toledo,676RS,Feb-07,263,60,203,76.8939393939
Toledo,676RS,Mar-07,263,62,201,76.1363636364
Toledo,900S,Jan-07,68,68,0,0.0
Toledo,900S,Feb-07,68,68,0,0.0
Toledo,900S,Mar-07,68,68,0,0.0
Toledo,929S,Jan-07,74,0,74,98.6666666667
Toledo,929S,Feb-07,74,0,74,98.6666666667
Toledo,929S,Mar-07,74,0,74,98.6666666667
Toledo,996S,Jan-07,57,57,0,0.0
Toledo,996S,Feb-07,57,57,0,0.0
Toledo,996S,Mar-07,57,57,0,0.0
Toledo,996RS,Jan-07,255,0,255,99.609375
Toledo,996RS,Feb-07,255,0,255,99.609375
Toledo,996RS,Mar-07,255,0,255,99.609375
Toledo,RoadStar,Jan-07,173,0,173,99.4252873563
Toledo,RoadStar,Feb-07,173,0,173,99.4252873563
Toledo,RoadStar,Mar-07,173,0,173,99.4252873563
Toledo,RoadLiner,Jan-07,212,0,212,99.5305164319
Toledo,RoadLiner,Feb-07,212,0,212,99.5305164319
Toledo,RoadLiner,Mar-07,212,0,212,99.5305164319
Toledo,Victory,Jan-07,48,0,48,97.9591836735
Toledo,Victory,Feb-07,48,0,48,97.9591836735
Toledo,Victory,Mar-07,48,0,48,97.9591836735
Toledo,Boulevard,Jan-07,126,27,99,77.9527559055
Toledo,Boulevard,Feb-07,126,13,113,88.9763779528
Toledo,Boulevard,Mar-07,126,97,29,22.8346456693
Toledo,KingTwin,Jan-07,263,212,51,19.3181818182
Toledo,KingTwin,Feb-07,263,263,0,0.0
Toledo,KingTwin,Mar-07,263,262,1,0.378787878788
Toledo,MegaTwin,Jan-07,258,131,127,49.0347490347
Toledo,MegaTwin,Feb-07,258,128,130,50.1930501931
Toledo,MegaTwin,Mar-07,258,174,84,32.4324324324
Toledo,ST900,Jan-07,179,179,0,0.0
Toledo,ST900,Feb-07,179,179,0,0.0
Toledo,ST900,Mar-07,179,159,20,11.1111111111
Toledo,ST1200,Jan-07,95,95,0,0.0
Toledo,ST1200,Feb-07,95,95,0,0.0
Toledo,ST1200,Mar-07,95,95,0,0.0
Toledo,ST1200R,Jan-07,216,216,0,0.0
Toledo,ST1200R,Feb-07,216,216,0,0.0
Toledo,ST1200R,Mar-07,216,163,53,24.4239631336
Toledo,Bandit 900,Jan-07,237,0,237,99.5798319328
Toledo,Bandit 900,Feb-07,237,0,237,99.5798319328
Toledo,Bandit 900,Mar-07,237,0,237,99.5798319328
Toledo,Bandit 1200,Jan-07,112,112,0,0.0
Toledo,Bandit 1200,Feb-07,112,112,0,0.0
Toledo,Bandit 1200,Mar-07,112,112,0,0.0
Toledo,Bandit 1200S,Jan-07,112,112,0,0.0
Toledo,Bandit 1200S,Feb-07,112,112,0,0.0
Toledo,Bandit 1200S,Mar-07,112,112,0,0.0
Toledo,Enduro 350,Jan-07,183,154,29,15.7608695652
Toledo,Enduro 350,Feb-07,183,137,46,25.0
Toledo,Enduro 350,Mar-07,183,120,63,34.2391304348
Toledo,Enduro 450,Jan-07,118,0,118,99.1596638655
Toledo,Enduro 450,Feb-07,118,0,118,99.1596638655
Toledo,Enduro 450,Mar-07,118,0,118,99.1596638655
Toledo,Enduro 550,Jan-07,267,181,86,32.0895522388
Toledo,Enduro 550,Feb-07,267,197,70,26.1194029851
Toledo,Enduro 550,Mar-07,267,223,44,16.4179104478
Toledo,CRX500,Jan-07,195,80,115,58.6734693878
Toledo,CRX500,Feb-07,195,72,123,62.7551020408
Toledo,CRX500,Mar-07,195,24,171,87.2448979592
Toledo,CRS550,Jan-07,129,0,129,99.2307692308
Toledo,CRS550,Feb-07,129,0,129,99.2307692308
Toledo,CRS550,Mar-07,129,0,129,99.2307692308
Toledo,CRX600,Jan-07,143,0,143,99.3055555556
Toledo,CRX600,Feb-07,143,0,143,99.3055555556
Toledo,CRX600,Mar-07,143,0,143,99.3055555556
Toledo,CRX650,Jan-07,104,104,0,0.0
Toledo,CRX650,Feb-07,104,104,0,0.0
Toledo,CRX650,Mar-07,104,104,0,0.0
Bucarest,200S,Jan-07,210,210,0,0.0
Bucarest,200S,Feb-07,210,210,0,0.0
Bucarest,200S,Mar-07,210,210,0,0.0
Bucarest,300S,Jan-07,84,84,0,0.0
Bucarest,300S,Feb-07,84,84,0,0.0
Bucarest,300S,Mar-07,84,84,0,0.0
Bucarest,600S,Jan-07,251,251,0,0.0
Bucarest,600S,Feb-07,251,251,0,0.0
Bucarest,600S,Mar-07,251,251,0,0.0
Bucarest,626S,Jan-07,195,0,195,99.4897959184
Bucarest,626S,Feb-07,195,0,195,99.4897959184
Bucarest,626S,Mar-07,195,0,195,99.4897959184
Bucarest,676S,Jan-07,97,0,97,98.9795918367
Bucarest,676S,Feb-07,97,0,97,98.9795918367
Bucarest,676S,Mar-07,97,0,97,98.9795918367
Bucarest,676RS,Jan-07,152,152,0,0.0
Bucarest,676RS,Feb-07,152,152,0,0.0
Bucarest,676RS,Mar-07,152,152,0,0.0
Bucarest,900S,Jan-07,214,13,201,93.488372093
Bucarest,900S,Feb-07,214,17,197,91.6279069767
Bucarest,900S,Mar-07,214,1,213,99.0697674419
Bucarest,929S,Jan-07,267,267,0,0.0
Bucarest,929S,Feb-07,267,267,0,0.0
Bucarest,929S,Mar-07,267,267,0,0.0
Bucarest,996S,Jan-07,44,44,0,0.0
Bucarest,996S,Feb-07,44,44,0,0.0
Bucarest,996S,Mar-07,44,44,0,0.0
Bucarest,996RS,Jan-07,151,52,99,65.1315789474
Bucarest,996RS,Feb-07,151,77,74,48.6842105263
Bucarest,996RS,Mar-07,151,71,80,52.6315789474
Bucarest,RoadStar,Jan-07,150,0,150,99.3377483444
Bucarest,RoadStar,Feb-07,150,0,150,99.3377483444
Bucarest,RoadStar,Mar-07,150,0,150,99.3377483444
Bucarest,RoadLiner,Jan-07,65,0,65,98.4848484848
Bucarest,RoadLiner,Feb-07,65,0,65,98.4848484848
Bucarest,RoadLiner,Mar-07,65,0,65,98.4848484848
Bucarest,Victory,Jan-07,274,261,13,4.72727272727
Bucarest,Victory,Feb-07,274,217,57,20.7272727273
Bucarest,Victory,Mar-07,274,145,129,46.9090909091
Bucarest,Boulevard,Jan-07,173,173,0,0.0
Bucarest,Boulevard,Feb-07,173,173,0,0.0
Bucarest,Boulevard,Mar-07,173,173,0,0.0
Bucarest,KingTwin,Jan-07,190,190,0,0.0
Bucarest,KingTwin,Feb-07,190,190,0,0.0
Bucarest,KingTwin,Mar-07,190,190,0,0.0
Bucarest,MegaTwin,Jan-07,163,163,0,0.0
Bucarest,MegaTwin,Feb-07,163,163,0,0.0
Bucarest,MegaTwin,Mar-07,163,163,0,0.0
Bucarest,ST900,Jan-07,216,0,216,99.5391705069
Bucarest,ST900,Feb-07,216,1,215,99.0783410138
Bucarest,ST900,Mar-07,216,0,216,99.5391705069
Bucarest,ST1200,Jan-07,204,204,0,0.0
Bucarest,ST1200,Feb-07,204,204,0,0.0
Bucarest,ST1200,Mar-07,204,204,0,0.0
Bucarest,ST1200R,Jan-07,207,1,206,99.0384615385
Bucarest,ST1200R,Feb-07,207,0,207,99.5192307692
Bucarest,ST1200R,Mar-07,207,0,207,99.5192307692
Bucarest,Bandit 900,Jan-07,268,0,268,99.6282527881
Bucarest,Bandit 900,Feb-07,268,0,268,99.6282527881
Bucarest,Bandit 900,Mar-07,268,0,268,99.6282527881
